日期时间(北京),开盘,最高,最低,收盘
2023-11-22 08:00:00,0.0047800,0.0048250,0.0040760,0.0045310
2023-11-23 08:00:00,0.0045310,0.0048580,0.0039300,0.0042670
2023-11-24 08:00:00,0.0042670,0.0043350,0.0038350,0.0041400
2023-11-25 08:00:00,0.0041430,0.0046000,0.0040840,0.0043400
2023-11-26 08:00:00,0.0043410,0.0044730,0.0039000,0.0040390
2023-11-27 08:00:00,0.0040410,0.0041080,0.0035000,0.0037920
2023-11-28 08:00:00,0.0037920,0.0042910,0.0036510,0.0041320
2023-11-29 08:00:00,0.0041350,0.0046020,0.0040190,0.0040810
2023-11-30 08:00:00,0.0040820,0.0041580,0.0038600,0.0038850
2023-12-01 08:00:00,0.0038840,0.0041250,0.0038040,0.0040320
2023-12-02 08:00:00,0.0040330,0.0048840,0.0040000,0.0048540
2023-12-03 08:00:00,0.0048510,0.0055090,0.0046170,0.0053200
2023-12-04 08:00:00,0.0053220,0.0070200,0.0051000,0.0062880
2023-12-05 08:00:00,0.0062880,0.0077190,0.0058520,0.0075620
2023-12-06 08:00:00,0.0075620,0.0086690,0.0073230,0.0075510
2023-12-07 08:00:00,0.0075510,0.0114890,0.0074510,0.0100640
2023-12-08 08:00:00,0.0100640,0.0134400,0.0098200,0.0129830
2023-12-09 08:00:00,0.0129830,0.0148720,0.0105240,0.0109710
2023-12-10 08:00:00,0.0109770,0.0127800,0.0098750,0.0125390
2023-12-11 08:00:00,0.0125390,0.0135090,0.0096940,0.0118690
2023-12-12 08:00:00,0.0118690,0.0136620,0.0112880,0.0115160
2023-12-13 08:00:00,0.0115150,0.0151100,0.0092740,0.0129470
2023-12-14 08:00:00,0.0129500,0.0288880,0.0124230,0.0243710
2023-12-15 08:00:00,0.0243760,0.0350000,0.0214030,0.0237560
2023-12-16 08:00:00,0.0237570,0.0267410,0.0202740,0.0217760
2023-12-17 08:00:00,0.0217760,0.0250000,0.0197160,0.0228530
2023-12-18 08:00:00,0.0228540,0.0234590,0.0183210,0.0208660
2023-12-19 08:00:00,0.0208660,0.0231060,0.0186230,0.0189920
2023-12-20 08:00:00,0.0189920,0.0216750,0.0174250,0.0189150
2023-12-21 08:00:00,0.0189120,0.0216880,0.0183070,0.0206880
2023-12-22 08:00:00,0.0206940,0.0228800,0.0184800,0.0193530
2023-12-23 08:00:00,0.0193530,0.0200650,0.0178000,0.0198920
2023-12-24 08:00:00,0.0198910,0.0200040,0.0178310,0.0181640
2023-12-25 08:00:00,0.0181640,0.0193480,0.0175500,0.0186960
2023-12-26 08:00:00,0.0186970,0.0190480,0.0148660,0.0161710
2023-12-27 08:00:00,0.0161720,0.0162590,0.0142220,0.0145460
2023-12-28 08:00:00,0.0145470,0.0156380,0.0124080,0.0148740
2023-12-29 08:00:00,0.0148750,0.0168730,0.0139130,0.0149360
2023-12-30 08:00:00,0.0149360,0.0151280,0.0138050,0.0140610
2023-12-31 08:00:00,0.0140600,0.0145320,0.0129740,0.0133410
2024-01-01 08:00:00,0.0133420,0.0150200,0.0127990,0.0150020
2024-01-02 08:00:00,0.0150010,0.0154260,0.0133820,0.0134950
2024-01-03 08:00:00,0.0134940,0.0138340,0.0096300,0.0116340
2024-01-04 08:00:00,0.0116360,0.0126160,0.0112320,0.0119430
2024-01-05 08:00:00,0.0119420,0.0120580,0.0105140,0.0111700
2024-01-06 08:00:00,0.0111700,0.0117040,0.0100700,0.0107510
2024-01-07 08:00:00,0.0107510,0.0115140,0.0101000,0.0103070
2024-01-08 08:00:00,0.0103090,0.0130630,0.0093400,0.0121250
2024-01-09 08:00:00,0.0121250,0.0143550,0.0115150,0.0142150
2024-01-10 08:00:00,0.0142150,0.0179690,0.0128270,0.0161750
2024-01-11 08:00:00,0.0161740,0.0174900,0.0146020,0.0161350
2024-01-12 08:00:00,0.0161360,0.0163490,0.0130000,0.0137790
2024-01-13 08:00:00,0.0137780,0.0156170,0.0130640,0.0152640
2024-01-14 08:00:00,0.0152630,0.0157390,0.0141500,0.0142280
2024-01-15 08:00:00,0.0142280,0.0145270,0.0134670,0.0136080
2024-01-16 08:00:00,0.0136090,0.0144690,0.0134360,0.0140600
2024-01-17 08:00:00,0.0140600,0.0144930,0.0131600,0.0134310
2024-01-18 08:00:00,0.0134300,0.0134960,0.0117870,0.0120550
2024-01-19 08:00:00,0.0120560,0.0122570,0.0109000,0.0119420
2024-01-20 08:00:00,0.0119430,0.0120390,0.0112040,0.0116840
2024-01-21 08:00:00,0.0116830,0.0121070,0.0113220,0.0113820
2024-01-22 08:00:00,0.0113810,0.0114700,0.0103090,0.0104460
2024-01-23 08:00:00,0.0104460,0.0109450,0.0097340,0.0108050
2024-01-24 08:00:00,0.0108040,0.0113340,0.0104120,0.0110560
2024-01-25 08:00:00,0.0110570,0.0116780,0.0103370,0.0112770
2024-01-26 08:00:00,0.0112770,0.0124800,0.0110000,0.0118370
2024-01-27 08:00:00,0.0118400,0.0120370,0.0112760,0.0116370
2024-01-28 08:00:00,0.0116370,0.0126480,0.0114050,0.0115680
2024-01-29 08:00:00,0.0115680,0.0121130,0.0113730,0.0120040
2024-01-30 08:00:00,0.0120040,0.0122490,0.0111680,0.0112460
2024-01-31 08:00:00,0.0112470,0.0113370,0.0105060,0.0106540
2024-02-01 08:00:00,0.0106560,0.0108340,0.0102000,0.0107460
2024-02-02 08:00:00,0.0107470,0.0108720,0.0103530,0.0105420
2024-02-03 08:00:00,0.0105410,0.0106380,0.0103020,0.0103470
2024-02-04 08:00:00,0.0103460,0.0104120,0.0100000,0.0100740
2024-02-05 08:00:00,0.0100740,0.0106370,0.0095660,0.0101730
2024-02-06 08:00:00,0.0101720,0.0102090,0.0098330,0.0099340
