日期时间(北京),开盘,最高,最低,收盘
2023-05-06 08:00:00,0.0423100,0.0444600,0.0382300,0.0399900
2023-05-07 08:00:00,0.0399900,0.0419200,0.0377300,0.0392200
2023-05-08 08:00:00,0.0392100,0.0399100,0.0318800,0.0343600
2023-05-09 08:00:00,0.0343600,0.0366200,0.0337200,0.0358300
2023-05-10 08:00:00,0.0358300,0.0381900,0.0341600,0.0377000
2023-05-11 08:00:00,0.0377000,0.0377300,0.0329900,0.0354900
2023-05-12 08:00:00,0.0354800,0.0366400,0.0328700,0.0363300
2023-05-13 08:00:00,0.0363300,0.0372600,0.0348700,0.0358200
2023-05-14 08:00:00,0.0358400,0.0362600,0.0348100,0.0358900
2023-05-15 08:00:00,0.0359100,0.0361900,0.0346400,0.0352400
2023-05-16 08:00:00,0.0352400,0.0357400,0.0335200,0.0338900
2023-05-17 08:00:00,0.0338900,0.0341800,0.0318300,0.0335900
2023-05-18 08:00:00,0.0335700,0.0353000,0.0320000,0.0325700
2023-05-19 08:00:00,0.0325600,0.0328400,0.0321400,0.0327800
2023-05-20 08:00:00,0.0327800,0.0343800,0.0321900,0.0332400
2023-05-21 08:00:00,0.0332200,0.0332300,0.0303500,0.0309900
2023-05-22 08:00:00,0.0309900,0.0314900,0.0301100,0.0310000
2023-05-23 08:00:00,0.0310100,0.0322000,0.0308200,0.0318000
2023-05-24 08:00:00,0.0318100,0.0337900,0.0296700,0.0312600
2023-05-25 08:00:00,0.0312600,0.0329600,0.0298200,0.0310800
2023-05-26 08:00:00,0.0310900,0.0318900,0.0303400,0.0311400
2023-05-27 08:00:00,0.0311400,0.0334000,0.0309300,0.0330900
2023-05-28 08:00:00,0.0330900,0.0367100,0.0323600,0.0350000
2023-05-29 08:00:00,0.0350000,0.0352100,0.0329100,0.0333400
2023-05-30 08:00:00,0.0333300,0.0334700,0.0323900,0.0329600
2023-05-31 08:00:00,0.0329500,0.0333300,0.0305500,0.0313800
2023-06-01 08:00:00,0.0313800,0.0330000,0.0307200,0.0314400
2023-06-02 08:00:00,0.0314400,0.0324000,0.0308000,0.0321100
2023-06-03 08:00:00,0.0321100,0.0326600,0.0314400,0.0317300
2023-06-04 08:00:00,0.0317400,0.0320300,0.0312200,0.0313500
2023-06-05 08:00:00,0.0313400,0.0313500,0.0254400,0.0278200
2023-06-06 08:00:00,0.0278200,0.0291800,0.0267200,0.0288000
2023-06-07 08:00:00,0.0288000,0.0288000,0.0262800,0.0266900
2023-06-08 08:00:00,0.0267000,0.0279900,0.0265800,0.0270700
2023-06-09 08:00:00,0.0270800,0.0273600,0.0260900,0.0265300
2023-06-10 08:00:00,0.0265400,0.0265700,0.0160900,0.0213700
2023-06-11 08:00:00,0.0213600,0.0218700,0.0207900,0.0211800
2023-06-12 08:00:00,0.0211900,0.0219700,0.0203200,0.0215100
2023-06-13 08:00:00,0.0215200,0.0233700,0.0213400,0.0221300
2023-06-14 08:00:00,0.0221300,0.0224000,0.0207100,0.0214000
2023-06-15 08:00:00,0.0214000,0.0218000,0.0206200,0.0215400
2023-06-16 08:00:00,0.0215500,0.0224700,0.0208600,0.0219200
2023-06-17 08:00:00,0.0219100,0.0229300,0.0215900,0.0224500
2023-06-18 08:00:00,0.0224500,0.0226400,0.0213300,0.0217600
2023-06-19 08:00:00,0.0217700,0.0220400,0.0213600,0.0219600
2023-06-20 08:00:00,0.0219700,0.0229900,0.0211900,0.0228800
2023-06-21 08:00:00,0.0228700,0.0295400,0.0227700,0.0258800
2023-06-22 08:00:00,0.0258900,0.0296300,0.0255600,0.0259800
2023-06-23 08:00:00,0.0259700,0.0286700,0.0258600,0.0269800
2023-06-24 08:00:00,0.0269800,0.0280000,0.0259800,0.0271200
2023-06-25 08:00:00,0.0271400,0.0277800,0.0266400,0.0272600
2023-06-26 08:00:00,0.0272600,0.0272900,0.0254400,0.0259200
2023-06-27 08:00:00,0.0259100,0.0264100,0.0256000,0.0261600
2023-06-28 08:00:00,0.0261700,0.0261900,0.0230600,0.0239600
2023-06-29 08:00:00,0.0239600,0.0248000,0.0237600,0.0242900
2023-06-30 08:00:00,0.0242900,0.0302500,0.0232500,0.0284200
2023-07-01 08:00:00,0.0284100,0.0306700,0.0270700,0.0277300
2023-07-02 08:00:00,0.0277400,0.0278500,0.0260200,0.0267200
