日期时间(北京),开盘,最高,最低,收盘
2023-01-01 08:00:00,246.110,246.590,243.250,244.360
2023-01-02 08:00:00,244.350,247.880,240.400,245.070
2023-01-03 08:00:00,245.060,246.900,244.020,245.970
2023-01-04 08:00:00,245.970,260.900,245.470,258.540
2023-01-05 08:00:00,258.550,258.900,255.000,256.440
2023-01-06 08:00:00,256.430,260.500,253.950,259.690
2023-01-07 08:00:00,259.690,264.000,259.210,261.110
2023-01-08 08:00:00,261.100,277.000,259.830,274.700
2023-01-09 08:00:00,274.700,283.550,271.270,272.440
2023-01-10 08:00:00,272.440,278.650,270.070,277.020
2023-01-11 08:00:00,277.010,287.400,273.910,284.740
2023-01-12 08:00:00,284.740,288.670,276.510,287.520
2023-01-13 08:00:00,287.520,296.250,284.630,293.670
2023-01-14 08:00:00,293.670,315.300,293.150,305.250
2023-01-15 08:00:00,305.260,306.240,292.000,302.200
2023-01-16 08:00:00,302.200,308.190,293.000,299.020
2023-01-17 08:00:00,299.010,306.000,294.000,299.280
2023-01-18 08:00:00,299.280,305.480,281.100,286.440
2023-01-19 08:00:00,286.440,295.400,285.820,294.400
2023-01-20 08:00:00,294.390,305.660,286.690,305.240
2023-01-21 08:00:00,305.240,310.550,298.160,299.120
2023-01-22 08:00:00,299.130,312.000,298.450,303.190
2023-01-23 08:00:00,303.190,308.240,300.620,305.360
2023-01-24 08:00:00,305.350,324.080,299.100,300.320
2023-01-25 08:00:00,300.310,314.050,292.800,306.840
2023-01-26 08:00:00,306.840,309.490,301.300,304.680
2023-01-27 08:00:00,304.700,310.730,298.550,308.070
2023-01-28 08:00:00,308.070,313.790,303.510,306.080
2023-01-29 08:00:00,306.090,320.710,304.710,317.120
2023-01-30 08:00:00,317.130,321.260,300.880,307.180
2023-01-31 08:00:00,307.170,314.470,305.320,312.150
2023-02-01 08:00:00,312.150,319.580,305.610,317.200
2023-02-02 08:00:00,317.210,334.990,316.430,323.720
2023-02-03 08:00:00,323.710,335.820,318.540,332.380
2023-02-04 08:00:00,332.380,334.340,327.100,330.410
2023-02-05 08:00:00,330.400,338.180,323.000,327.940
2023-02-06 08:00:00,327.930,331.620,320.600,324.570
2023-02-07 08:00:00,324.560,333.940,323.260,333.150
2023-02-08 08:00:00,333.160,336.010,323.490,328.280
2023-02-09 08:00:00,328.280,329.250,301.410,305.910
2023-02-10 08:00:00,305.910,309.050,302.050,305.520
2023-02-11 08:00:00,305.500,311.130,304.810,310.220
2023-02-12 08:00:00,310.230,320.700,305.200,312.260
2023-02-13 08:00:00,312.260,315.910,282.380,294.040
2023-02-14 08:00:00,294.040,301.530,289.600,296.060
2023-02-15 08:00:00,296.060,317.630,293.800,317.260
2023-02-16 08:00:00,317.270,328.100,303.810,304.070
2023-02-17 08:00:00,304.070,317.000,302.500,312.940
2023-02-18 08:00:00,312.910,318.850,312.810,316.210
