日期时间(北京),开盘,最高,最低,收盘
2023-01-01 00:00:00,246.830,247.110,246.560,246.730
2023-01-01 01:00:00,246.740,246.810,246.010,246.350
2023-01-01 02:00:00,246.350,246.510,246.310,246.420
2023-01-01 03:00:00,246.420,247.220,246.370,246.790
2023-01-01 04:00:00,246.790,247.030,246.570,246.830
2023-01-01 05:00:00,246.830,247.350,246.710,246.820
2023-01-01 06:00:00,246.820,247.210,245.560,246.130
2023-01-01 07:00:00,246.130,246.710,245.790,246.110
2023-01-01 08:00:00,246.110,246.590,245.270,245.580
2023-01-01 09:00:00,245.570,245.880,245.340,245.820
2023-01-01 10:00:00,245.810,245.810,245.110,245.310
2023-01-01 11:00:00,245.300,245.470,245.020,245.150
2023-01-01 12:00:00,245.150,245.220,243.500,243.670
2023-01-01 13:00:00,243.670,244.310,243.300,244.020
2023-01-01 14:00:00,244.020,244.330,243.810,243.840
2023-01-01 15:00:00,243.840,244.160,243.600,243.910
2023-01-01 16:00:00,243.910,243.990,243.250,243.440
2023-01-01 17:00:00,243.430,244.380,243.320,244.350
2023-01-01 18:00:00,244.360,244.380,243.880,244.280
2023-01-01 19:00:00,244.280,244.540,244.080,244.300
2023-01-01 20:00:00,244.300,244.560,244.000,244.190
2023-01-01 21:00:00,244.200,244.450,243.840,244.130
2023-01-01 22:00:00,244.130,244.340,243.890,243.930
2023-01-01 23:00:00,243.920,244.670,243.920,244.480
2023-01-02 00:00:00,244.490,244.980,244.260,244.800
2023-01-02 01:00:00,244.800,245.490,244.740,245.340
2023-01-02 02:00:00,245.340,245.650,244.680,244.730
2023-01-02 03:00:00,244.730,245.630,244.720,245.130
2023-01-02 04:00:00,245.130,245.810,245.120,245.150
2023-01-02 05:00:00,245.150,245.300,244.840,245.020
2023-01-02 06:00:00,245.020,245.100,244.570,244.600
2023-01-02 07:00:00,244.600,244.790,243.540,244.360
2023-01-02 08:00:00,244.350,244.480,243.410,243.440
2023-01-02 09:00:00,243.450,243.610,240.400,242.030
2023-01-02 10:00:00,242.030,242.690,241.520,242.340
2023-01-02 11:00:00,242.340,244.000,242.270,243.670
2023-01-02 12:00:00,243.670,243.790,242.820,243.330
2023-01-02 13:00:00,243.340,244.300,243.330,243.840
2023-01-02 14:00:00,243.840,244.290,243.440,243.870
2023-01-02 15:00:00,243.870,247.000,243.680,246.260
2023-01-02 16:00:00,246.260,247.300,246.250,246.880
2023-01-02 17:00:00,246.890,247.880,246.280,246.620
2023-01-02 18:00:00,246.610,247.420,246.280,246.820
2023-01-02 19:00:00,246.820,246.890,246.060,246.720
2023-01-02 20:00:00,246.730,247.470,246.730,246.980
2023-01-02 21:00:00,246.990,247.300,246.010,246.470
2023-01-02 22:00:00,246.470,246.660,245.840,246.340
2023-01-02 23:00:00,246.330,247.180,245.910,246.850
2023-01-03 00:00:00,246.840,247.050,246.040,246.060
2023-01-03 01:00:00,246.050,246.560,246.050,246.430
2023-01-03 02:00:00,246.430,246.630,246.150,246.460
2023-01-03 03:00:00,246.460,246.630,246.080,246.500
2023-01-03 04:00:00,246.510,247.230,246.100,247.140
2023-01-03 05:00:00,247.130,247.730,246.810,247.130
2023-01-03 06:00:00,247.120,247.340,245.890,245.940
2023-01-03 07:00:00,245.940,246.460,244.950,245.070
2023-01-03 08:00:00,245.060,245.970,244.720,245.700
2023-01-03 09:00:00,245.690,245.690,244.630,245.210
2023-01-03 10:00:00,245.200,245.590,245.080,245.290
2023-01-03 11:00:00,245.280,245.830,245.100,245.710
2023-01-03 12:00:00,245.720,245.810,245.130,245.170
2023-01-03 13:00:00,245.170,246.430,245.100,246.280
2023-01-03 14:00:00,246.280,246.900,245.910,246.150
2023-01-03 15:00:00,246.140,246.310,245.730,246.140
2023-01-03 16:00:00,246.140,246.330,245.300,245.760
2023-01-03 17:00:00,245.770,246.490,245.660,246.290
2023-01-03 18:00:00,246.280,246.440,245.300,245.640
2023-01-03 19:00:00,245.640,246.290,245.200,245.480
2023-01-03 20:00:00,245.470,245.710,244.890,245.260
2023-01-03 21:00:00,245.250,245.600,244.840,245.280
2023-01-03 22:00:00,245.290,246.260,244.020,244.720
2023-01-03 23:00:00,244.720,245.540,244.420,245.280
2023-01-04 00:00:00,245.270,245.840,244.300,244.580
2023-01-04 01:00:00,244.570,245.200,244.530,245.200
2023-01-04 02:00:00,245.200,245.300,244.540,245.060
2023-01-04 03:00:00,245.060,245.480,244.710,245.190
2023-01-04 04:00:00,245.180,245.560,245.030,245.390
2023-01-04 05:00:00,245.390,245.780,245.300,245.770
2023-01-04 06:00:00,245.770,245.980,245.400,245.770
2023-01-04 07:00:00,245.770,246.190,245.770,245.970
2023-01-04 08:00:00,245.970,246.170,245.470,245.820
2023-01-04 09:00:00,245.820,247.320,245.810,246.270
2023-01-04 10:00:00,246.280,252.720,246.270,251.110
2023-01-04 11:00:00,251.100,258.710,251.100,257.020
2023-01-04 12:00:00,257.020,257.270,255.220,255.540
2023-01-04 13:00:00,255.530,255.700,254.640,255.020
2023-01-04 14:00:00,255.030,255.090,253.590,254.890
2023-01-04 15:00:00,254.890,255.580,254.150,255.030
2023-01-04 16:00:00,255.020,256.140,253.860,254.930
2023-01-04 17:00:00,254.930,255.340,254.560,254.800
2023-01-04 18:00:00,254.790,255.110,254.090,254.790
2023-01-04 19:00:00,254.790,254.930,254.420,254.750
2023-01-04 20:00:00,254.750,255.910,254.650,254.850
2023-01-04 21:00:00,254.860,255.760,254.750,255.350
2023-01-04 22:00:00,255.370,256.120,254.790,255.460
2023-01-04 23:00:00,255.460,257.300,253.780,256.830
2023-01-05 00:00:00,256.840,259.950,255.820,257.380
2023-01-05 01:00:00,257.390,260.900,256.930,259.440
2023-01-05 02:00:00,259.450,260.650,258.920,259.160
2023-01-05 03:00:00,259.130,259.900,256.230,257.530
2023-01-05 04:00:00,257.540,257.580,254.700,255.620
2023-01-05 05:00:00,255.620,257.290,255.420,257.040
