日期时间(北京),开盘,最高,最低,收盘
2023-01-01 00:00:00,16586.10,16609.30,16577.30,16596.00
2023-01-01 01:00:00,16596.10,16600.10,16565.90,16573.40
2023-01-01 02:00:00,16573.40,16582.80,16566.20,16571.70
2023-01-01 03:00:00,16571.80,16585.00,16562.00,16564.30
2023-01-01 04:00:00,16564.30,16569.70,16562.00,16563.50
2023-01-01 05:00:00,16563.50,16566.40,16538.60,16544.00
2023-01-01 06:00:00,16544.00,16565.10,16461.80,16515.10
2023-01-01 07:00:00,16515.10,16546.90,16483.10,16537.60
2023-01-01 08:00:00,16537.50,16540.90,16504.00,16527.00
2023-01-01 09:00:00,16527.10,16554.30,16524.10,16550.40
2023-01-01 10:00:00,16550.50,16557.10,16534.80,16542.40
2023-01-01 11:00:00,16542.50,16542.50,16515.00,16529.30
2023-01-01 12:00:00,16529.20,16530.40,16508.80,16517.80
2023-01-01 13:00:00,16517.80,16531.10,16508.00,16525.70
2023-01-01 14:00:00,16525.60,16545.70,16525.60,16535.30
2023-01-01 15:00:00,16535.30,16537.50,16488.00,16519.60
2023-01-01 16:00:00,16519.50,16524.90,16502.00,16504.20
2023-01-01 17:00:00,16504.30,16536.10,16496.80,16532.70
2023-01-01 18:00:00,16532.70,16542.90,16527.30,16542.80
2023-01-01 19:00:00,16542.90,16549.80,16535.10,16549.80
2023-01-01 20:00:00,16549.80,16565.90,16542.90,16553.90
2023-01-01 21:00:00,16553.80,16559.80,16530.50,16539.90
2023-01-01 22:00:00,16539.90,16549.70,16533.10,16533.10
2023-01-01 23:00:00,16533.20,16553.10,16524.60,16553.10
2023-01-02 00:00:00,16553.00,16579.00,16552.60,16556.00
2023-01-02 01:00:00,16556.10,16589.40,16555.50,16573.10
2023-01-02 02:00:00,16573.10,16597.00,16573.00,16584.30
2023-01-02 03:00:00,16584.30,16615.80,16584.20,16596.10
2023-01-02 04:00:00,16596.10,16618.80,16592.00,16593.80
2023-01-02 05:00:00,16593.70,16599.70,16584.10,16597.60
2023-01-02 06:00:00,16597.60,16605.40,16579.10,16594.40
2023-01-02 07:00:00,16594.40,16617.40,16594.40,16610.30
2023-01-02 08:00:00,16610.40,16618.40,16572.90,16578.00
2023-01-02 09:00:00,16578.00,16579.30,16541.20,16556.50
2023-01-02 10:00:00,16556.50,16587.10,16547.50,16580.40
2023-01-02 11:00:00,16580.40,16700.70,16575.00,16654.60
2023-01-02 12:00:00,16654.70,16665.00,16621.80,16631.80
2023-01-02 13:00:00,16631.80,16653.80,16612.80,16640.00
2023-01-02 14:00:00,16640.10,16654.80,16627.80,16632.40
2023-01-02 15:00:00,16632.50,16767.80,16630.80,16712.50
2023-01-02 16:00:00,16712.60,16764.00,16701.00,16724.50
2023-01-02 17:00:00,16724.60,16735.90,16705.10,16710.00
2023-01-02 18:00:00,16710.00,16759.80,16703.20,16720.20
2023-01-02 19:00:00,16720.10,16734.00,16696.00,16728.50
2023-01-02 20:00:00,16728.40,16736.10,16713.00,16713.20
2023-01-02 21:00:00,16713.20,16716.50,16674.30,16687.80
2023-01-02 22:00:00,16687.70,16702.50,16665.00,16694.80
2023-01-02 23:00:00,16694.70,16744.80,16688.40,16729.20
2023-01-03 00:00:00,16729.20,16732.90,16704.00,16704.10
2023-01-03 01:00:00,16704.10,16716.50,16702.60,16710.10
2023-01-03 02:00:00,16710.00,16725.80,16703.90,16718.30
2023-01-03 03:00:00,16718.30,16732.10,16711.10,16730.50
2023-01-03 04:00:00,16730.50,16732.00,16702.70,16722.80
2023-01-03 05:00:00,16722.70,16799.00,16715.00,16751.90
2023-01-03 06:00:00,16751.90,16755.70,16685.10,16694.60
2023-01-03 07:00:00,16694.60,16717.40,16650.00,16666.00
2023-01-03 08:00:00,16665.90,16699.70,16639.50,16689.10
2023-01-03 09:00:00,16689.00,16689.10,16645.50,16670.50
2023-01-03 10:00:00,16670.40,16680.00,16665.20,16666.50
2023-01-03 11:00:00,16666.50,16694.00,16661.50,16684.50
2023-01-03 12:00:00,16684.40,16691.20,16675.20,16678.00
2023-01-03 13:00:00,16677.90,16721.90,16677.70,16720.00
2023-01-03 14:00:00,16720.00,16774.00,16717.70,16719.80
