日期时间(北京),开盘,最高,最低,收盘
2023-01-01 08:00:00,0.070220,0.070850,0.069010,0.070200
2023-01-02 08:00:00,0.070200,0.073890,0.069010,0.071350
2023-01-03 08:00:00,0.071360,0.072290,0.069130,0.070460
2023-01-04 08:00:00,0.070460,0.073600,0.070160,0.073080
2023-01-05 08:00:00,0.073090,0.075300,0.070000,0.071480
2023-01-06 08:00:00,0.071480,0.072780,0.069260,0.072380
2023-01-07 08:00:00,0.072390,0.073060,0.071660,0.072180
2023-01-08 08:00:00,0.072180,0.074000,0.071170,0.073610
2023-01-09 08:00:00,0.073610,0.079640,0.072930,0.075660
2023-01-10 08:00:00,0.075660,0.077910,0.073500,0.077850
2023-01-11 08:00:00,0.077840,0.078620,0.074610,0.078140
2023-01-12 08:00:00,0.078130,0.081350,0.073700,0.080260
2023-01-13 08:00:00,0.080260,0.085280,0.078330,0.084530
2023-01-14 08:00:00,0.084530,0.092900,0.082100,0.087320
2023-01-15 08:00:00,0.087330,0.088020,0.082760,0.086150
2023-01-16 08:00:00,0.086150,0.088430,0.081420,0.083720
2023-01-17 08:00:00,0.083730,0.085130,0.081710,0.082840
2023-01-18 08:00:00,0.082840,0.089790,0.076480,0.079980
2023-01-19 08:00:00,0.079980,0.082150,0.079710,0.081600
2023-01-20 08:00:00,0.081600,0.087270,0.080580,0.086230
2023-01-21 08:00:00,0.086240,0.089280,0.083500,0.084720
2023-01-22 08:00:00,0.084710,0.093470,0.084340,0.088280
2023-01-23 08:00:00,0.088280,0.091640,0.086190,0.088600
2023-01-24 08:00:00,0.088600,0.090940,0.082000,0.083900
2023-01-25 08:00:00,0.083910,0.088240,0.081520,0.086590
2023-01-26 08:00:00,0.086600,0.087810,0.084380,0.086380
2023-01-27 08:00:00,0.086390,0.088090,0.083500,0.087290
2023-01-28 08:00:00,0.087280,0.093960,0.086650,0.087740
2023-01-29 08:00:00,0.087730,0.091040,0.087250,0.090170
2023-01-30 08:00:00,0.090170,0.092980,0.084260,0.088310
2023-01-31 08:00:00,0.088300,0.097910,0.088240,0.096170
2023-02-01 08:00:00,0.096170,0.097250,0.087800,0.094120
2023-02-02 08:00:00,0.094120,0.096210,0.090010,0.091020
2023-02-03 08:00:00,0.091010,0.093440,0.090310,0.093010
2023-02-04 08:00:00,0.093010,0.099850,0.092550,0.095740
2023-02-05 08:00:00,0.095740,0.097020,0.090100,0.092040
2023-02-06 08:00:00,0.092040,0.093290,0.088400,0.089540
2023-02-07 08:00:00,0.089540,0.092760,0.089380,0.092530
2023-02-08 08:00:00,0.092520,0.093480,0.088460,0.090170
2023-02-09 08:00:00,0.090170,0.090960,0.078610,0.081440
2023-02-10 08:00:00,0.081430,0.083040,0.079100,0.080800
2023-02-11 08:00:00,0.080810,0.082560,0.080590,0.082220
2023-02-12 08:00:00,0.082220,0.085800,0.081090,0.082110
2023-02-13 08:00:00,0.082110,0.086440,0.079230,0.082020
2023-02-14 08:00:00,0.082020,0.083720,0.079860,0.083580
2023-02-15 08:00:00,0.083570,0.089610,0.082610,0.089250
2023-02-16 08:00:00,0.089250,0.092040,0.084420,0.084900
2023-02-17 08:00:00,0.084910,0.088550,0.084260,0.087770
2023-02-18 08:00:00,0.087770,0.090510,0.086790,0.088880
2023-02-19 08:00:00,0.088890,0.090130,0.085480,0.087040
2023-02-20 08:00:00,0.087030,0.088830,0.085100,0.088350
2023-02-21 08:00:00,0.088350,0.088960,0.084160,0.085460
2023-02-22 08:00:00,0.085450,0.090760,0.082810,0.085500
2023-02-23 08:00:00,0.085500,0.086440,0.083480,0.084230
2023-02-24 08:00:00,0.084230,0.085000,0.079070,0.080880
2023-02-25 08:00:00,0.080880,0.082150,0.078220,0.080710
2023-02-26 08:00:00,0.080700,0.082640,0.080360,0.082130
2023-02-27 08:00:00,0.082130,0.082310,0.079880,0.081340
2023-02-28 08:00:00,0.081330,0.083130,0.079840,0.080830
2023-03-01 08:00:00,0.080830,0.082850,0.080180,0.081900
2023-03-02 08:00:00,0.081910,0.082280,0.079570,0.080560
2023-03-03 08:00:00,0.080570,0.080630,0.071850,0.076820
2023-03-04 08:00:00,0.076820,0.077240,0.072500,0.074580
2023-03-05 08:00:00,0.074580,0.076030,0.074240,0.074710
2023-03-06 08:00:00,0.074720,0.075110,0.073130,0.074760
2023-03-07 08:00:00,0.074750,0.075950,0.072190,0.074040
2023-03-08 08:00:00,0.074050,0.074300,0.069760,0.071080
2023-03-09 08:00:00,0.071080,0.072270,0.063800,0.065900
2023-03-10 08:00:00,0.065900,0.066140,0.062440,0.065670
2023-03-11 08:00:00,0.065670,0.068160,0.063050,0.066010
2023-03-12 08:00:00,0.066020,0.070850,0.065120,0.070500
2023-03-13 08:00:00,0.070500,0.073490,0.068100,0.072760
2023-03-14 08:00:00,0.072760,0.077680,0.071060,0.074610
2023-03-15 08:00:00,0.074600,0.075960,0.067300,0.069600
2023-03-16 08:00:00,0.069600,0.074060,0.068690,0.072530
2023-03-17 08:00:00,0.072540,0.077260,0.071420,0.076420
2023-03-18 08:00:00,0.076420,0.078950,0.072030,0.072940
2023-03-19 08:00:00,0.072940,0.076540,0.072930,0.074500
2023-03-20 08:00:00,0.074510,0.075590,0.070220,0.071330
2023-03-21 08:00:00,0.071330,0.077900,0.070250,0.076600
2023-03-22 08:00:00,0.076590,0.078130,0.071230,0.073820
2023-03-23 08:00:00,0.073820,0.079550,0.072890,0.077330
2023-03-24 08:00:00,0.077330,0.077470,0.072660,0.074480
2023-03-25 08:00:00,0.074480,0.075940,0.072340,0.073980
2023-03-26 08:00:00,0.073980,0.075440,0.073280,0.074310
2023-03-27 08:00:00,0.074300,0.076150,0.071160,0.072840
2023-03-28 08:00:00,0.072840,0.074010,0.071590,0.073780
2023-03-29 08:00:00,0.073780,0.076820,0.073460,0.075530
2023-03-30 08:00:00,0.075530,0.076840,0.072920,0.074170
2023-03-31 08:00:00,0.074160,0.077890,0.073310,0.076900
2023-04-01 08:00:00,0.076910,0.083370,0.075820,0.081830
2023-04-02 08:00:00,0.081820,0.085590,0.077060,0.079000
2023-04-03 08:00:00,0.078990,0.105230,0.075520,0.095960
2023-04-04 08:00:00,0.095970,0.103570,0.092020,0.095140
2023-04-05 08:00:00,0.095140,0.099210,0.090290,0.092690
