日期时间(北京),开盘,最高,最低,收盘
2023-01-01 08:00:00,1.102,1.162,1.084,1.139
2023-01-02 08:00:00,1.139,1.212,1.121,1.182
2023-01-03 08:00:00,1.182,1.196,1.131,1.161
2023-01-04 08:00:00,1.162,1.202,1.154,1.178
2023-01-05 08:00:00,1.179,1.249,1.159,1.178
2023-01-06 08:00:00,1.178,1.237,1.137,1.213
2023-01-07 08:00:00,1.213,1.235,1.193,1.215
2023-01-08 08:00:00,1.216,1.267,1.185,1.261
2023-01-09 08:00:00,1.262,1.376,1.252,1.321
2023-01-10 08:00:00,1.322,1.422,1.281,1.380
2023-01-11 08:00:00,1.379,1.383,1.313,1.369
2023-01-12 08:00:00,1.369,1.449,1.321,1.430
2023-01-13 08:00:00,1.431,1.488,1.385,1.467
2023-01-14 08:00:00,1.468,1.593,1.401,1.541
2023-01-15 08:00:00,1.540,1.588,1.451,1.507
2023-01-16 08:00:00,1.507,1.589,1.426,1.481
2023-01-17 08:00:00,1.481,1.511,1.402,1.411
2023-01-18 08:00:00,1.411,1.451,1.224,1.280
2023-01-19 08:00:00,1.281,1.342,1.278,1.315
2023-01-20 08:00:00,1.316,1.748,1.299,1.675
2023-01-21 08:00:00,1.674,1.812,1.596,1.618
2023-01-22 08:00:00,1.618,1.760,1.606,1.658
2023-01-23 08:00:00,1.659,1.869,1.658,1.741
2023-01-24 08:00:00,1.740,1.764,1.512,1.540
2023-01-25 08:00:00,1.541,2.143,1.516,1.928
2023-01-26 08:00:00,1.928,2.376,1.887,2.305
2023-01-27 08:00:00,2.304,2.528,2.100,2.416
2023-01-28 08:00:00,2.415,2.457,2.214,2.297
2023-01-29 08:00:00,2.297,2.403,2.173,2.344
2023-01-30 08:00:00,2.343,2.700,2.173,2.500
2023-01-31 08:00:00,2.499,3.580,2.333,3.225
2023-02-01 08:00:00,3.225,3.535,2.926,3.291
2023-02-02 08:00:00,3.291,3.680,3.152,3.198
2023-02-03 08:00:00,3.199,3.346,3.089,3.219
2023-02-04 08:00:00,3.220,3.293,3.079,3.121
2023-02-05 08:00:00,3.122,3.198,2.693,2.978
2023-02-06 08:00:00,2.977,3.138,2.811,2.901
2023-02-07 08:00:00,2.902,3.220,2.901,3.158
2023-02-08 08:00:00,3.159,3.272,2.837,2.922
2023-02-09 08:00:00,2.921,3.009,2.411,2.517
2023-02-10 08:00:00,2.517,2.568,2.403,2.442
2023-02-11 08:00:00,2.442,2.683,2.369,2.624
2023-02-12 08:00:00,2.624,2.745,2.450,2.504
2023-02-13 08:00:00,2.504,2.532,2.308,2.427
2023-02-14 08:00:00,2.428,2.693,2.386,2.635
2023-02-15 08:00:00,2.636,2.999,2.588,2.988
2023-02-16 08:00:00,2.989,3.245,2.833,2.868
2023-02-17 08:00:00,2.869,3.189,2.846,3.132
2023-02-18 08:00:00,3.132,3.168,2.951,2.990
2023-02-19 08:00:00,2.990,3.089,2.770,2.830
2023-02-20 08:00:00,2.830,2.956,2.732,2.917
2023-02-21 08:00:00,2.916,2.982,2.651,2.727
2023-02-22 08:00:00,2.727,2.736,2.520,2.671
2023-02-23 08:00:00,2.671,2.805,2.543,2.663
2023-02-24 08:00:00,2.663,2.807,2.523,2.664
2023-02-25 08:00:00,2.663,2.848,2.502,2.839
2023-02-26 08:00:00,2.838,2.898,2.782,2.854
2023-02-27 08:00:00,2.855,3.046,2.742,2.969
2023-02-28 08:00:00,2.969,3.117,2.890,2.917
2023-03-01 08:00:00,2.917,3.289,2.913,3.239
2023-03-02 08:00:00,3.239,3.300,2.968,3.038
2023-03-03 08:00:00,3.039,3.040,2.452,2.615
2023-03-04 08:00:00,2.615,2.639,2.287,2.387
2023-03-05 08:00:00,2.388,2.498,2.353,2.413
2023-03-06 08:00:00,2.414,2.478,2.333,2.432
2023-03-07 08:00:00,2.433,2.497,2.182,2.251
2023-03-08 08:00:00,2.251,2.264,1.907,1.994
2023-03-09 08:00:00,1.994,2.156,1.929,2.055
2023-03-10 08:00:00,2.055,2.113,1.788,1.996
2023-03-11 08:00:00,1.997,2.070,1.751,1.876
2023-03-12 08:00:00,1.876,2.283,1.833,2.233
2023-03-13 08:00:00,2.232,2.470,2.108,2.388
2023-03-14 08:00:00,2.388,2.774,2.335,2.576
2023-03-15 08:00:00,2.576,2.724,2.225,2.271
2023-03-16 08:00:00,2.270,2.497,2.207,2.384
2023-03-17 08:00:00,2.383,2.707,2.342,2.700
2023-03-18 08:00:00,2.701,3.014,2.611,2.662
2023-03-19 08:00:00,2.662,2.915,2.625,2.734
2023-03-20 08:00:00,2.735,2.856,2.457,2.491
2023-03-21 08:00:00,2.491,2.729,2.399,2.596
2023-03-22 08:00:00,2.597,2.661,2.370,2.499
2023-03-23 08:00:00,2.498,2.672,2.419,2.622
2023-03-24 08:00:00,2.623,2.662,2.361,2.422
2023-03-25 08:00:00,2.422,2.434,2.238,2.285
2023-03-26 08:00:00,2.286,2.410,2.263,2.377
2023-03-27 08:00:00,2.378,2.435,2.139,2.395
2023-03-28 08:00:00,2.395,2.548,2.273,2.523
2023-03-29 08:00:00,2.524,2.609,2.482,2.516
2023-03-30 08:00:00,2.517,2.613,2.372,2.441
2023-03-31 08:00:00,2.441,2.533,2.388,2.509
2023-04-01 08:00:00,2.509,2.536,2.425,2.461
2023-04-02 08:00:00,2.460,2.482,2.347,2.424
2023-04-03 08:00:00,2.424,2.530,2.289,2.458
2023-04-04 08:00:00,2.458,2.560,2.404,2.497
2023-04-05 08:00:00,2.498,2.670,2.489,2.631
2023-04-06 08:00:00,2.631,2.717,2.533,2.564
