日期时间(北京),开盘,最高,最低,收盘
2023-01-01 08:00:00,1196.10,1204.79,1190.80,1199.96
2023-01-02 08:00:00,1199.96,1225.00,1191.50,1213.23
2023-01-03 08:00:00,1213.24,1219.50,1203.05,1214.23
2023-01-04 08:00:00,1214.22,1275.00,1212.16,1256.39
2023-01-05 08:00:00,1256.39,1260.00,1242.22,1251.08
2023-01-06 08:00:00,1251.08,1277.77,1233.00,1268.54
2023-01-07 08:00:00,1268.54,1270.66,1260.53,1263.65
2023-01-08 08:00:00,1263.64,1296.00,1256.30,1289.65
2023-01-09 08:00:00,1289.64,1345.00,1284.81,1320.32
2023-01-10 08:00:00,1320.32,1348.70,1316.74,1335.30
2023-01-11 08:00:00,1335.29,1400.00,1319.52,1389.26
2023-01-12 08:00:00,1389.25,1439.36,1358.00,1415.84
2023-01-13 08:00:00,1415.85,1465.49,1400.70,1450.94
2023-01-14 08:00:00,1450.95,1644.92,1448.70,1550.27
2023-01-15 08:00:00,1550.27,1570.00,1516.02,1553.47
2023-01-16 08:00:00,1553.48,1610.50,1520.00,1577.11
2023-01-17 08:00:00,1577.25,1609.00,1540.00,1565.84
2023-01-18 08:00:00,1565.83,1614.60,1501.21,1511.66
2023-01-19 08:00:00,1511.60,1565.00,1509.87,1551.11
2023-01-20 08:00:00,1551.11,1680.00,1541.60,1659.01
2023-01-21 08:00:00,1659.01,1682.44,1615.30,1627.63
2023-01-22 08:00:00,1627.63,1666.00,1603.39,1628.14
2023-01-23 08:00:00,1628.13,1650.00,1585.21,1626.90
2023-01-24 08:00:00,1626.90,1641.89,1530.00,1555.99
2023-01-25 08:00:00,1556.00,1641.18,1512.30,1611.41
2023-01-26 08:00:00,1611.44,1633.00,1575.66,1600.69
2023-01-27 08:00:00,1600.69,1621.46,1551.10,1597.08
2023-01-28 08:00:00,1597.08,1606.66,1555.00,1571.52
2023-01-29 08:00:00,1571.52,1663.68,1565.98,1645.67
2023-01-30 08:00:00,1645.67,1648.49,1529.04,1565.92
2023-01-31 08:00:00,1565.93,1605.67,1561.04,1585.02
2023-02-01 08:00:00,1585.02,1648.76,1554.57,1641.80
2023-02-02 08:00:00,1641.81,1717.00,1625.00,1643.81
2023-02-03 08:00:00,1643.82,1677.00,1622.00,1663.68
2023-02-04 08:00:00,1663.69,1696.99,1645.00,1666.44
2023-02-05 08:00:00,1666.44,1674.59,1608.00,1628.98
2023-02-06 08:00:00,1628.98,1659.00,1602.00,1613.90
2023-02-07 08:00:00,1613.89,1679.03,1612.49,1670.51
2023-02-08 08:00:00,1670.50,1699.00,1631.00,1650.26
2023-02-09 08:00:00,1650.26,1656.20,1522.00,1544.68
2023-02-10 08:00:00,1544.67,1554.00,1486.28,1512.26
2023-02-11 08:00:00,1512.25,1542.82,1502.83,1537.65
2023-02-12 08:00:00,1537.64,1547.70,1491.00,1514.49
