日期时间(北京),开盘,最高,最低,收盘
2023-01-01 00:00:00,1202.59,1203.90,1200.66,1202.49
2023-01-01 01:00:00,1202.50,1202.82,1198.35,1200.59
2023-01-01 02:00:00,1200.60,1200.86,1199.06,1199.59
2023-01-01 03:00:00,1199.58,1206.00,1199.24,1202.74
2023-01-01 04:00:00,1202.74,1203.92,1202.14,1202.45
2023-01-01 05:00:00,1202.46,1203.16,1199.61,1200.11
2023-01-01 06:00:00,1200.11,1201.34,1192.05,1196.31
2023-01-01 07:00:00,1196.31,1197.48,1193.55,1196.10
2023-01-01 08:00:00,1196.10,1196.85,1192.29,1193.89
2023-01-01 09:00:00,1193.89,1196.71,1193.76,1196.16
2023-01-01 10:00:00,1196.16,1196.98,1193.99,1195.62
2023-01-01 11:00:00,1195.61,1195.61,1191.36,1194.05
2023-01-01 12:00:00,1194.05,1194.08,1190.80,1193.07
2023-01-01 13:00:00,1193.09,1194.84,1192.91,1194.57
2023-01-01 14:00:00,1194.58,1195.55,1193.87,1194.75
2023-01-01 15:00:00,1194.75,1195.84,1193.00,1195.07
2023-01-01 16:00:00,1195.07,1196.00,1193.91,1194.13
2023-01-01 17:00:00,1194.13,1196.79,1193.56,1196.55
2023-01-01 18:00:00,1196.56,1197.37,1195.35,1197.17
2023-01-01 19:00:00,1197.17,1197.68,1195.55,1196.40
2023-01-01 20:00:00,1196.40,1198.61,1195.51,1197.17
2023-01-01 21:00:00,1197.17,1197.37,1192.99,1194.99
2023-01-01 22:00:00,1195.00,1195.78,1194.04,1194.46
2023-01-01 23:00:00,1194.46,1196.71,1193.86,1196.52
2023-01-02 00:00:00,1196.51,1198.02,1195.50,1197.03
2023-01-02 01:00:00,1197.02,1203.83,1196.94,1200.34
2023-01-02 02:00:00,1200.34,1202.93,1200.34,1200.71
2023-01-02 03:00:00,1200.71,1204.67,1200.70,1201.47
2023-01-02 04:00:00,1201.47,1204.79,1200.96,1201.03
2023-01-02 05:00:00,1201.03,1202.89,1200.12,1202.59
2023-01-02 06:00:00,1202.59,1202.93,1200.00,1200.69
2023-01-02 07:00:00,1200.69,1202.52,1198.71,1199.96
2023-01-02 08:00:00,1199.96,1200.83,1197.00,1197.78
2023-01-02 09:00:00,1197.78,1197.85,1191.50,1194.55
2023-01-02 10:00:00,1194.55,1197.12,1193.73,1196.37
2023-01-02 11:00:00,1196.36,1203.32,1196.08,1201.42
2023-01-02 12:00:00,1201.43,1202.49,1199.12,1201.27
2023-01-02 13:00:00,1201.26,1202.74,1199.52,1201.91
2023-01-02 14:00:00,1201.91,1203.94,1199.75,1200.85
2023-01-02 15:00:00,1200.85,1222.00,1200.72,1212.82
2023-01-02 16:00:00,1212.83,1217.00,1212.14,1215.32
2023-01-02 17:00:00,1215.32,1218.84,1215.14,1216.55
2023-01-02 18:00:00,1216.55,1225.00,1215.90,1217.01
2023-01-02 19:00:00,1217.00,1217.40,1213.50,1216.72
2023-01-02 20:00:00,1216.71,1218.37,1215.83,1216.11
2023-01-02 21:00:00,1216.11,1216.46,1213.30,1214.20
2023-01-02 22:00:00,1214.21,1219.00,1214.20,1216.39
2023-01-02 23:00:00,1216.40,1220.99,1215.03,1218.50
2023-01-03 00:00:00,1218.49,1219.39,1215.50,1215.76
2023-01-03 01:00:00,1215.76,1216.99,1215.03,1216.62
2023-01-03 02:00:00,1216.62,1218.74,1216.21,1217.53
2023-01-03 03:00:00,1217.52,1218.76,1216.73,1218.49
2023-01-03 04:00:00,1218.50,1218.50,1215.73,1217.64
2023-01-03 05:00:00,1217.64,1225.00,1217.45,1219.28
2023-01-03 06:00:00,1219.28,1219.83,1210.00,1214.33
2023-01-03 07:00:00,1214.33,1216.68,1211.89,1213.23
2023-01-03 08:00:00,1213.24,1216.28,1212.07,1214.99
2023-01-03 09:00:00,1214.98,1215.26,1210.64,1213.65
2023-01-03 10:00:00,1213.64,1214.92,1212.50,1213.55
2023-01-03 11:00:00,1213.55,1216.00,1212.32,1215.19
2023-01-03 12:00:00,1215.18,1215.45,1212.57,1212.89
2023-01-03 13:00:00,1212.88,1217.55,1212.69,1217.33
2023-01-03 14:00:00,1217.34,1219.50,1215.70,1216.30
2023-01-03 15:00:00,1216.31,1216.61,1214.62,1215.85
2023-01-03 16:00:00,1215.86,1216.54,1213.32,1215.02
2023-01-03 17:00:00,1215.01,1218.20,1215.01,1216.99
2023-01-03 18:00:00,1216.99,1218.07,1215.20,1215.33
2023-01-03 19:00:00,1215.33,1216.55,1213.54,1214.39
2023-01-03 20:00:00,1214.39,1216.00,1214.03,1214.74
2023-01-03 21:00:00,1214.75,1217.48,1214.58,1215.85
2023-01-03 22:00:00,1215.85,1218.76,1205.00,1209.83
2023-01-03 23:00:00,1209.84,1211.98,1206.40,1211.40
2023-01-04 00:00:00,1211.39,1212.40,1206.65,1207.13
2023-01-04 01:00:00,1207.14,1209.43,1206.13,1208.41
2023-01-04 02:00:00,1208.40,1209.00,1206.02,1207.34
2023-01-04 03:00:00,1207.34,1210.20,1203.05,1208.92
2023-01-04 04:00:00,1208.93,1212.34,1208.86,1210.36
2023-01-04 05:00:00,1210.35,1211.98,1209.63,1211.02
2023-01-04 06:00:00,1211.02,1212.79,1209.62,1212.20
2023-01-04 07:00:00,1212.21,1217.04,1211.67,1214.23
2023-01-04 08:00:00,1214.22,1214.50,1212.16,1213.01
2023-01-04 09:00:00,1213.02,1232.27,1212.72,1223.62
2023-01-04 10:00:00,1223.63,1236.59,1223.62,1231.06
2023-01-04 11:00:00,1231.06,1258.53,1231.06,1250.33
2023-01-04 12:00:00,1250.33,1254.99,1248.61,1250.25
2023-01-04 13:00:00,1250.24,1251.23,1247.08,1247.99
2023-01-04 14:00:00,1247.99,1251.40,1247.10,1250.15
2023-01-04 15:00:00,1250.16,1253.00,1247.35,1251.77
2023-01-04 16:00:00,1251.78,1261.05,1248.13,1250.46
2023-01-04 17:00:00,1250.45,1251.74,1249.00,1249.44
2023-01-04 18:00:00,1249.43,1250.23,1248.50,1249.78
2023-01-04 19:00:00,1249.78,1253.70,1249.28,1251.16
2023-01-04 20:00:00,1251.17,1256.15,1250.31,1250.66
2023-01-04 21:00:00,1250.66,1253.55,1250.34,1253.18
2023-01-04 22:00:00,1253.18,1255.00,1248.50,1250.72
2023-01-04 23:00:00,1250.72,1259.02,1238.61,1255.90
2023-01-05 00:00:00,1255.91,1257.59,1250.57,1253.55
2023-01-05 01:00:00,1253.54,1275.00,1252.23,1259.83
2023-01-05 02:00:00,1259.82,1267.71,1256.91,1261.56
2023-01-05 03:00:00,1261.54,1265.50,1250.79,1254.14
2023-01-05 04:00:00,1254.14,1254.28,1243.04,1250.78
2023-01-05 05:00:00,1250.78,1253.22,1250.03,1252.53
2023-01-05 06:00:00,1252.54,1257.83,1251.70,1252.83
2023-01-05 07:00:00,1252.84,1257.35,1252.50,1256.39
2023-01-05 08:00:00,1256.39,1260.00,1252.80,1253.60
2023-01-05 09:00:00,1253.61,1256.71,1252.02,1253.69
2023-01-05 10:00:00,1253.69,1254.52,1252.18,1253.64
2023-01-05 11:00:00,1253.64,1253.72,1251.51,1252.59
2023-01-05 12:00:00,1252.59,1254.13,1251.92,1252.70
2023-01-05 13:00:00,1252.70,1254.76,1252.19,1253.02
2023-01-05 14:00:00,1253.02,1253.81,1247.70,1250.53
2023-01-05 15:00:00,1250.52,1251.00,1247.13,1250.91
2023-01-05 16:00:00,1250.91,1251.79,1247.86,1250.63
2023-01-05 17:00:00,1250.63,1250.63,1245.00,1248.66
2023-01-05 18:00:00,1248.66,1252.73,1248.31,1251.24
2023-01-05 19:00:00,1251.24,1255.90,1250.38,1255.34
2023-01-05 20:00:00,1255.35,1255.65,1251.25,1252.35
2023-01-05 21:00:00,1252.35,1253.53,1246.17,1246.58
2023-01-05 22:00:00,1246.58,1250.35,1242.22,1248.03
2023-01-05 23:00:00,1248.03,1252.74,1247.33,1248.72
2023-01-06 00:00:00,1248.72,1250.00,1246.50,1248.22
2023-01-06 01:00:00,1248.21,1249.74,1246.36,1246.79
2023-01-06 02:00:00,1246.79,1251.46,1246.34,1250.80
2023-01-06 03:00:00,1250.81,1254.92,1250.61,1253.22
2023-01-06 04:00:00,1253.22,1254.04,1251.76,1253.44
2023-01-06 05:00:00,1253.45,1253.90,1250.64,1251.96
2023-01-06 06:00:00,1251.96,1252.61,1250.00,1250.37
2023-01-06 07:00:00,1250.36,1252.79,1247.38,1251.08
2023-01-06 08:00:00,1251.08,1258.98,1249.62,1255.16
2023-01-06 09:00:00,1255.15,1255.47,1250.50,1250.81
2023-01-06 10:00:00,1250.81,1251.67,1247.40,1251.65
2023-01-06 11:00:00,1251.66,1252.92,1249.92,1250.56
2023-01-06 12:00:00,1250.57,1251.78,1247.83,1250.73
2023-01-06 13:00:00,1250.74,1250.74,1246.15,1249.01
2023-01-06 14:00:00,1249.02,1249.02,1245.02,1247.51
2023-01-06 15:00:00,1247.50,1248.06,1245.86,1247.45
2023-01-06 16:00:00,1247.45,1249.89,1247.37,1249.00
2023-01-06 17:00:00,1249.00,1249.12,1245.49,1247.96
2023-01-06 18:00:00,1247.96,1248.47,1243.71,1245.27
2023-01-06 19:00:00,1245.27,1246.56,1235.00,1243.20
2023-01-06 20:00:00,1243.20,1244.80,1241.35,1243.75
2023-01-06 21:00:00,1243.74,1253.88,1233.00,1250.35
2023-01-06 22:00:00,1250.35,1252.83,1245.55,1247.72
2023-01-06 23:00:00,1247.72,1267.65,1247.72,1262.48
2023-01-07 00:00:00,1262.48,1268.58,1259.51,1263.76
2023-01-07 01:00:00,1263.77,1269.70,1261.51,1263.19
2023-01-07 02:00:00,1263.18,1269.88,1263.18,1266.07
2023-01-07 03:00:00,1266.07,1277.77,1264.36,1272.76
2023-01-07 04:00:00,1272.77,1275.90,1265.06,1265.34
2023-01-07 05:00:00,1265.34,1267.53,1264.50,1265.50
2023-01-07 06:00:00,1265.50,1269.99,1265.19,1268.93
2023-01-07 07:00:00,1268.92,1271.35,1267.33,1268.54
2023-01-07 08:00:00,1268.54,1270.30,1265.64,1270.23
2023-01-07 09:00:00,1270.22,1270.66,1267.76,1267.99
2023-01-07 10:00:00,1267.98,1268.54,1265.40,1266.02
2023-01-07 11:00:00,1266.01,1266.61,1264.50,1266.05
2023-01-07 12:00:00,1266.04,1266.05,1263.01,1264.17
2023-01-07 13:00:00,1264.16,1264.32,1263.00,1263.78
2023-01-07 14:00:00,1263.79,1264.30,1261.03,1264.30
2023-01-07 15:00:00,1264.30,1266.40,1264.20,1266.00
2023-01-07 16:00:00,1266.00,1266.42,1263.56,1264.33
2023-01-07 17:00:00,1264.32,1265.84,1263.19,1264.66
2023-01-07 18:00:00,1264.67,1265.02,1263.36,1263.39
2023-01-07 19:00:00,1263.39,1263.77,1262.13,1263.12
2023-01-07 20:00:00,1263.11,1263.46,1260.54,1263.00
2023-01-07 21:00:00,1263.00,1264.87,1261.40,1262.31
2023-01-07 22:00:00,1262.31,1265.15,1260.53,1264.68
2023-01-07 23:00:00,1264.69,1264.90,1263.12,1264.50
2023-01-08 00:00:00,1264.50,1264.51,1261.30,1262.19
2023-01-08 01:00:00,1262.19,1263.27,1261.27,1261.82
2023-01-08 02:00:00,1261.83,1264.28,1261.70,1263.45
