日期时间(北京),开盘,最高,最低,收盘
2023-07-28 08:00:00,0.7638000,0.8465000,0.7493000,0.8151000
2023-07-29 08:00:00,0.8150000,0.8185000,0.7272000,0.7410000
2023-07-30 08:00:00,0.7409000,0.7533000,0.6817000,0.7075000
2023-07-31 08:00:00,0.7076000,0.7346000,0.7066000,0.7257000
2023-08-01 08:00:00,0.7257000,0.7480000,0.6778000,0.7428000
2023-08-02 08:00:00,0.7429000,0.7472000,0.7008000,0.7109000
2023-08-03 08:00:00,0.7110000,0.7199000,0.6969000,0.7039000
2023-08-04 08:00:00,0.7039000,0.7179000,0.6905000,0.7024000
2023-08-05 08:00:00,0.7024000,0.7140000,0.6938000,0.7058000
2023-08-06 08:00:00,0.7058000,0.7525000,0.7049000,0.7369000
2023-08-07 08:00:00,0.7369000,0.7511000,0.6946000,0.7218000
2023-08-08 08:00:00,0.7221000,0.7309000,0.7063000,0.7272000
2023-08-09 08:00:00,0.7273000,0.7320000,0.6934000,0.7029000
2023-08-10 08:00:00,0.7024000,0.7065000,0.6884000,0.7012000
2023-08-11 08:00:00,0.7012000,0.7064000,0.6904000,0.6978000
2023-08-12 08:00:00,0.6976000,0.7051000,0.6928000,0.6972000
2023-08-13 08:00:00,0.6972000,0.7200000,0.6937000,0.7108000
2023-08-14 08:00:00,0.7109000,0.7305000,0.7054000,0.7149000
2023-08-15 08:00:00,0.7149000,0.7200000,0.5877000,0.6276000
2023-08-16 08:00:00,0.6276000,0.6360000,0.5800000,0.5973000
2023-08-17 08:00:00,0.5973000,0.6053000,0.4627000,0.5156000
2023-08-18 08:00:00,0.5156000,0.5489000,0.5156000,0.5414000
2023-08-19 08:00:00,0.5415000,0.5578000,0.5333000,0.5496000
2023-08-20 08:00:00,0.5497000,0.5693000,0.5275000,0.5547000
2023-08-21 08:00:00,0.5547000,0.5559000,0.5166000,0.5388000
2023-08-22 08:00:00,0.5387000,0.5430000,0.5075000,0.5337000
2023-08-23 08:00:00,0.5336000,0.6621000,0.5293000,0.5895000
2023-08-24 08:00:00,0.5896000,0.6118000,0.5670000,0.5878000
2023-08-25 08:00:00,0.5878000,0.6141000,0.5707000,0.6075000
2023-08-26 08:00:00,0.6076000,0.6300000,0.5950000,0.6000000
2023-08-27 08:00:00,0.6000000,0.6279000,0.5903000,0.6210000
2023-08-28 08:00:00,0.6210000,0.6308000,0.6051000,0.6115000
2023-08-29 08:00:00,0.6113000,0.7080000,0.5800000,0.6820000
2023-08-30 08:00:00,0.6825000,0.7050000,0.6551000,0.6783000
2023-08-31 08:00:00,0.6784000,0.6882000,0.6261000,0.6316000
2023-09-01 08:00:00,0.6315000,0.6742000,0.6239000,0.6581000
2023-09-02 08:00:00,0.6581000,0.6931000,0.5944000,0.6088000
2023-09-03 08:00:00,0.6087000,0.6259000,0.6004000,0.6114000
2023-09-04 08:00:00,0.6114000,0.6347000,0.6041000,0.6129000
2023-09-05 08:00:00,0.6129000,0.6164000,0.5906000,0.6039000
2023-09-06 08:00:00,0.6039000,0.6175000,0.5835000,0.6078000
2023-09-07 08:00:00,0.6078000,0.6088000,0.5835000,0.6067000
2023-09-08 08:00:00,0.6068000,0.6140000,0.5805000,0.5925000
2023-09-09 08:00:00,0.5929000,0.6316000,0.5929000,0.6202000
2023-09-10 08:00:00,0.6205000,0.6206000,0.5543000,0.5833000
2023-09-11 08:00:00,0.5833000,0.5858000,0.5217000,0.5431000
2023-09-12 08:00:00,0.5431000,0.5800000,0.5431000,0.5536000
2023-09-13 08:00:00,0.5537000,0.5736000,0.5457000,0.5614000
2023-09-14 08:00:00,0.5615000,0.5854000,0.5610000,0.5750000
2023-09-15 08:00:00,0.5750000,0.6185000,0.5709000,0.6070000
2023-09-16 08:00:00,0.6066000,0.6409000,0.6050000,0.6238000
2023-09-17 08:00:00,0.6234000,0.6247000,0.5850000,0.5954000
2023-09-18 08:00:00,0.5951000,0.6201000,0.5833000,0.6040000
2023-09-19 08:00:00,0.6037000,0.6546000,0.5966000,0.6464000
2023-09-20 08:00:00,0.6464000,0.6720000,0.6319000,0.6675000
2023-09-21 08:00:00,0.6673000,0.6804000,0.6396000,0.6475000
2023-09-22 08:00:00,0.6472000,0.6656000,0.6350000,0.6654000
2023-09-23 08:00:00,0.6653000,0.6699000,0.6241000,0.6329000
2023-09-24 08:00:00,0.6328000,0.6361000,0.6137000,0.6185000
2023-09-25 08:00:00,0.6185000,0.6264000,0.6089000,0.6226000
2023-09-26 08:00:00,0.6226000,0.6315000,0.6129000,0.6261000
2023-09-27 08:00:00,0.6261000,0.6477000,0.6209000,0.6311000
2023-09-28 08:00:00,0.6315000,0.7199000,0.6291000,0.7108000
2023-09-29 08:00:00,0.7109000,0.7440000,0.6951000,0.7251000
2023-09-30 08:00:00,0.7251000,0.7647000,0.7063000,0.7203000
2023-10-01 08:00:00,0.7208000,0.7697000,0.7185000,0.7636000
2023-10-02 08:00:00,0.7637000,0.7779000,0.7045000,0.7159000
2023-10-03 08:00:00,0.7160000,0.7223000,0.6664000,0.6725000
