日期时间(北京),开盘,最高,最低,收盘
2023-08-17 08:00:00,0.2220000,0.2220000,0.1508000,0.1718000
2023-08-18 08:00:00,0.1716000,0.1766000,0.1358000,0.1664000
2023-08-19 08:00:00,0.1664000,0.1705000,0.1536000,0.1596000
2023-08-20 08:00:00,0.1596000,0.1616000,0.1439000,0.1514000
2023-08-21 08:00:00,0.1513000,0.1550000,0.1408000,0.1486000
2023-08-22 08:00:00,0.1486000,0.1560000,0.1434000,0.1541000
2023-08-23 08:00:00,0.1542000,0.1560000,0.1458000,0.1525000
2023-08-24 08:00:00,0.1524000,0.1525000,0.1454000,0.1477000
2023-08-25 08:00:00,0.1478000,0.1482000,0.1362000,0.1390000
2023-08-26 08:00:00,0.1390000,0.1392000,0.1288000,0.1325000
2023-08-27 08:00:00,0.1325000,0.1355000,0.1276000,0.1318000
2023-08-28 08:00:00,0.1319000,0.1320000,0.1251000,0.1284000
2023-08-29 08:00:00,0.1284000,0.1542000,0.1181000,0.1466000
2023-08-30 08:00:00,0.1466000,0.1671000,0.1431000,0.1494000
2023-08-31 08:00:00,0.1493000,0.1496000,0.1305000,0.1321000
2023-09-01 08:00:00,0.1320000,0.1477000,0.1276000,0.1398000
2023-09-02 08:00:00,0.1398000,0.1500000,0.1285000,0.1311000
2023-09-03 08:00:00,0.1312000,0.1362000,0.1253000,0.1279000
2023-09-04 08:00:00,0.1279000,0.1299000,0.1230000,0.1262000
2023-09-05 08:00:00,0.1261000,0.1261000,0.1207000,0.1255000
2023-09-06 08:00:00,0.1254000,0.1283000,0.1222000,0.1262000
2023-09-07 08:00:00,0.1263000,0.1359000,0.1247000,0.1322000
2023-09-08 08:00:00,0.1323000,0.1356000,0.1257000,0.1272000
2023-09-09 08:00:00,0.1273000,0.1278000,0.1225000,0.1249000
2023-09-10 08:00:00,0.1248000,0.1256000,0.1087000,0.1202000
2023-09-11 08:00:00,0.1201000,0.1220000,0.1126000,0.1157000
2023-09-12 08:00:00,0.1156000,0.1196000,0.1146000,0.1167000
2023-09-13 08:00:00,0.1167000,0.1193000,0.1150000,0.1181000
2023-09-14 08:00:00,0.1181000,0.1195000,0.1160000,0.1179000
2023-09-15 08:00:00,0.1180000,0.1251000,0.1146000,0.1239000
2023-09-16 08:00:00,0.1240000,0.1488000,0.1221000,0.1397000
2023-09-17 08:00:00,0.1397000,0.1407000,0.1217000,0.1229000
2023-09-18 08:00:00,0.1229000,0.1276000,0.1193000,0.1236000
2023-09-19 08:00:00,0.1236000,0.1263000,0.1209000,0.1252000
2023-09-20 08:00:00,0.1252000,0.1307000,0.1217000,0.1244000
2023-09-21 08:00:00,0.1243000,0.1304000,0.1201000,0.1237000
2023-09-22 08:00:00,0.1236000,0.1252000,0.1221000,0.1238000
2023-09-23 08:00:00,0.1238000,0.1243000,0.1200000,0.1219000
2023-09-24 08:00:00,0.1219000,0.1226000,0.1163000,0.1182000
2023-09-25 08:00:00,0.1182000,0.1195000,0.1163000,0.1184000
2023-09-26 08:00:00,0.1185000,0.1190000,0.1155000,0.1174000
2023-09-27 08:00:00,0.1173000,0.1187000,0.1150000,0.1166000
2023-09-28 08:00:00,0.1166000,0.1211000,0.1160000,0.1189000
2023-09-29 08:00:00,0.1189000,0.1232000,0.1179000,0.1205000
2023-09-30 08:00:00,0.1206000,0.1215000,0.1186000,0.1200000
