日期时间(北京),开盘,最高,最低,收盘
2023-01-01 08:00:00,9.9680,10.0740,9.6780,9.9770
2023-01-02 08:00:00,9.9770,12.0670,9.7960,11.2590
2023-01-03 08:00:00,11.2590,13.8790,11.0000,13.3260
2023-01-04 08:00:00,13.3260,14.2000,12.8130,13.4050
2023-01-05 08:00:00,13.4040,13.7810,12.9270,13.4180
2023-01-06 08:00:00,13.4170,13.5850,12.6440,13.4830
2023-01-07 08:00:00,13.4840,13.4900,13.0100,13.0870
2023-01-08 08:00:00,13.0860,15.4890,12.8340,14.4650
2023-01-09 08:00:00,14.4640,17.5000,14.2560,16.2530
2023-01-10 08:00:00,16.2530,16.7180,15.5670,16.1910
2023-01-11 08:00:00,16.1910,16.5970,15.2700,16.3550
2023-01-12 08:00:00,16.3540,17.0000,15.4000,16.5840
2023-01-13 08:00:00,16.5840,18.6580,16.2370,18.2890
2023-01-14 08:00:00,18.2890,24.8480,18.1910,24.2830
2023-01-15 08:00:00,24.2840,25.2000,22.0000,22.9030
2023-01-16 08:00:00,22.9030,25.1800,22.2300,23.6010
2023-01-17 08:00:00,23.6000,24.0000,22.6600,22.8550
2023-01-18 08:00:00,22.8580,23.6740,20.3100,20.8040
2023-01-19 08:00:00,20.8040,21.8790,20.4000,21.4080
2023-01-20 08:00:00,21.4080,25.8750,20.9130,25.5130
2023-01-21 08:00:00,25.5130,26.6870,24.2640,24.5640
2023-01-22 08:00:00,24.5640,25.4700,23.5000,24.1950
2023-01-23 08:00:00,24.1960,24.9430,23.7000,24.3470
2023-01-24 08:00:00,24.3460,25.3000,22.1100,22.7700
2023-01-25 08:00:00,22.7700,25.4520,22.1870,24.5340
2023-01-26 08:00:00,24.5350,25.2510,23.7000,24.3450
2023-01-27 08:00:00,24.3450,24.9940,23.2420,24.4410
2023-01-28 08:00:00,24.4410,25.3000,23.7000,24.0020
2023-01-29 08:00:00,24.0020,26.8690,23.7100,26.0900
2023-01-30 08:00:00,26.0900,26.3340,22.9100,23.9570
2023-01-31 08:00:00,23.9570,24.4940,23.4810,23.9130
2023-02-01 08:00:00,23.9120,25.2480,22.4500,25.0110
2023-02-02 08:00:00,25.0140,26.1730,24.0050,24.3150
2023-02-03 08:00:00,24.3200,25.0720,23.9700,24.6830
2023-02-04 08:00:00,24.6830,24.9430,24.1440,24.3180
2023-02-05 08:00:00,24.3180,24.4600,23.0000,23.4640
2023-02-06 08:00:00,23.4650,23.7170,22.4710,22.6350
2023-02-07 08:00:00,22.6370,23.9530,22.5260,23.8170
2023-02-08 08:00:00,23.8170,24.2400,22.7810,23.2100
2023-02-09 08:00:00,23.2090,23.3450,19.9900,20.4820
2023-02-10 08:00:00,20.4820,21.1710,19.6600,20.0880
2023-02-11 08:00:00,20.0870,20.8880,20.0780,20.7820
2023-02-12 08:00:00,20.7830,22.5290,20.6040,21.4830
2023-02-13 08:00:00,21.4840,21.5950,19.7200,20.7480
2023-02-14 08:00:00,20.7480,22.3730,20.6390,21.8360
2023-02-15 08:00:00,21.8360,23.9960,21.4430,23.8620
2023-02-16 08:00:00,23.8620,24.1600,22.2030,22.2570
2023-02-17 08:00:00,22.2570,23.5580,22.0240,23.1460
2023-02-18 08:00:00,23.1470,23.9420,22.9310,23.4640
2023-02-19 08:00:00,23.4640,25.6800,23.2070,24.8530
2023-02-20 08:00:00,24.8510,27.1500,24.1000,26.2910
2023-02-21 08:00:00,26.2900,26.6480,24.5000,24.9830
2023-02-22 08:00:00,24.9830,25.2660,23.2000,24.1450
2023-02-23 08:00:00,24.1440,24.6850,23.5900,23.9090
2023-02-24 08:00:00,23.9090,24.1230,22.4360,23.0600
2023-02-25 08:00:00,23.0580,23.3270,21.4000,22.3590
2023-02-26 08:00:00,22.3600,23.5200,22.2010,23.2380
2023-02-27 08:00:00,23.2380,23.4000,22.3090,22.6650
2023-02-28 08:00:00,22.6650,22.7400,21.7330,21.8750
2023-03-01 08:00:00,21.8770,22.9040,21.6390,22.4990
2023-03-02 08:00:00,22.5020,22.6560,21.6540,21.9910
2023-03-03 08:00:00,21.9910,22.0030,20.2910,21.4040
2023-03-04 08:00:00,21.4050,21.6200,20.1750,20.9770
2023-03-05 08:00:00,20.9760,21.7270,20.8210,20.9600
2023-03-06 08:00:00,20.9600,21.1800,20.4360,20.6220
2023-03-07 08:00:00,20.6210,20.9580,19.6820,20.2330
2023-03-08 08:00:00,20.2330,20.3850,18.1000,18.4130
2023-03-09 08:00:00,18.4120,18.7730,16.6280,17.3180
