日期时间(北京),开盘,最高,最低,收盘
2023-01-01 00:00:00,10.1300,10.1690,9.9060,10.0470
2023-01-01 04:00:00,10.0470,10.1130,9.8500,9.9680
2023-01-01 08:00:00,9.9680,10.0740,9.8940,9.9570
2023-01-01 12:00:00,9.9570,9.9780,9.6780,9.7820
2023-01-01 16:00:00,9.7820,9.9750,9.6930,9.9150
2023-01-01 20:00:00,9.9160,9.9550,9.7810,9.8480
2023-01-02 00:00:00,9.8490,10.0400,9.8210,9.9450
2023-01-02 04:00:00,9.9450,10.0480,9.9260,9.9770
2023-01-02 08:00:00,9.9770,10.0080,9.7960,9.9770
2023-01-02 12:00:00,9.9770,12.0670,9.9270,11.0830
2023-01-02 16:00:00,11.0840,11.3600,10.8320,11.0070
2023-01-02 20:00:00,11.0080,11.2340,10.9980,11.1080
2023-01-03 00:00:00,11.1070,11.5000,11.0700,11.2440
2023-01-03 04:00:00,11.2440,11.4060,11.1720,11.2590
2023-01-03 08:00:00,11.2590,11.3240,11.0000,11.1990
2023-01-03 12:00:00,11.2000,11.9390,11.1890,11.8810
2023-01-03 16:00:00,11.8810,11.9800,11.6680,11.8100
2023-01-03 20:00:00,11.8100,12.8890,11.7500,12.8190
2023-01-04 00:00:00,12.8190,13.8790,12.6410,12.8960
2023-01-04 04:00:00,12.8960,13.4820,12.8950,13.3260
2023-01-04 08:00:00,13.3260,14.0000,13.1750,13.4350
2023-01-04 12:00:00,13.4360,14.2000,13.2100,14.1090
2023-01-04 16:00:00,14.1090,14.1110,13.5250,13.6290
2023-01-04 20:00:00,13.6290,13.7230,13.1500,13.3520
2023-01-05 00:00:00,13.3520,13.6320,13.0440,13.1770
2023-01-05 04:00:00,13.1780,13.5850,12.8130,13.4050
2023-01-05 08:00:00,13.4040,13.4200,13.0310,13.2090
2023-01-05 12:00:00,13.2080,13.4820,13.1170,13.2370
2023-01-05 16:00:00,13.2370,13.3100,12.9270,13.2550
2023-01-05 20:00:00,13.2550,13.3950,13.0270,13.2910
2023-01-06 00:00:00,13.2910,13.4700,13.0480,13.3880
2023-01-06 04:00:00,13.3880,13.7810,13.3300,13.4180
2023-01-06 08:00:00,13.4170,13.5590,13.1330,13.1860
2023-01-06 12:00:00,13.1870,13.2400,13.0100,13.1090
2023-01-06 16:00:00,13.1090,13.2320,12.8330,12.9840
2023-01-06 20:00:00,12.9840,13.1890,12.6440,13.1730
2023-01-07 00:00:00,13.1730,13.4190,13.0450,13.3530
2023-01-07 04:00:00,13.3550,13.5850,13.1490,13.4830
2023-01-07 08:00:00,13.4840,13.4900,13.2630,13.3150
2023-01-07 12:00:00,13.3150,13.3250,13.1920,13.2880
2023-01-07 16:00:00,13.2880,13.3150,13.1200,13.1370
2023-01-07 20:00:00,13.1380,13.2730,13.1250,13.2570
2023-01-08 00:00:00,13.2560,13.2670,13.1640,13.2120
2023-01-08 04:00:00,13.2120,13.2390,13.0100,13.0870
2023-01-08 08:00:00,13.0860,13.3990,12.8340,13.3610
2023-01-08 12:00:00,13.3600,13.4280,13.2480,13.3170
2023-01-08 16:00:00,13.3170,13.7800,13.2600,13.4960
2023-01-08 20:00:00,13.4970,13.9340,13.4230,13.8600
2023-01-09 00:00:00,13.8590,13.8900,13.4450,13.5290
2023-01-09 04:00:00,13.5280,15.4890,13.5090,14.4650
2023-01-09 08:00:00,14.4640,16.7800,14.2560,16.0480
2023-01-09 12:00:00,16.0490,16.5440,15.9240,16.3480
2023-01-09 16:00:00,16.3480,16.8360,16.0850,16.3620
2023-01-09 20:00:00,16.3610,17.5000,16.0000,17.1300
2023-01-10 00:00:00,17.1290,17.3640,16.2320,16.2880
2023-01-10 04:00:00,16.2880,16.6840,16.0130,16.2530
2023-01-10 08:00:00,16.2530,16.5860,15.5670,15.9690
2023-01-10 12:00:00,15.9680,16.3000,15.8630,15.8930
2023-01-10 16:00:00,15.8930,16.3520,15.8190,16.0210
2023-01-10 20:00:00,16.0200,16.4890,15.8050,16.2310
2023-01-11 00:00:00,16.2320,16.4640,16.0200,16.3810
2023-01-11 04:00:00,16.3800,16.7180,16.1270,16.1910
2023-01-11 08:00:00,16.1910,16.3230,15.8550,16.0060
2023-01-11 12:00:00,16.0050,16.1500,15.8130,16.0940
2023-01-11 16:00:00,16.0940,16.1280,15.9360,16.0240
2023-01-11 20:00:00,16.0240,16.0240,15.3020,15.4130
2023-01-12 00:00:00,15.4130,16.1270,15.2700,15.9990
2023-01-12 04:00:00,16.0000,16.5970,15.7320,16.3550
2023-01-12 08:00:00,16.3540,17.0000,16.1270,16.4180
2023-01-12 12:00:00,16.4180,16.4940,16.1510,16.2350
2023-01-12 16:00:00,16.2360,16.2390,15.8920,16.0650
2023-01-12 20:00:00,16.0640,16.4980,15.4000,15.9480
2023-01-13 00:00:00,15.9470,16.7900,15.8880,16.5330
2023-01-13 04:00:00,16.5340,16.7000,16.2930,16.5840
2023-01-13 08:00:00,16.5840,16.8400,16.2370,16.6980
2023-01-13 12:00:00,16.6970,17.3400,16.6890,16.8900
2023-01-13 16:00:00,16.8890,17.0970,16.5200,16.6460
2023-01-13 20:00:00,16.6460,16.8500,16.4390,16.7890
2023-01-14 00:00:00,16.7880,17.2200,16.4880,17.1770
2023-01-14 04:00:00,17.1760,18.6580,17.0170,18.2890
2023-01-14 08:00:00,18.2890,22.8790,18.1910,21.9640
2023-01-14 12:00:00,21.9630,24.8000,21.8000,23.5770
2023-01-14 16:00:00,23.5770,23.9400,21.3250,22.3950
2023-01-14 20:00:00,22.3960,23.6800,21.7300,22.3370
2023-01-15 00:00:00,22.3350,23.4300,22.1420,23.0730
2023-01-15 04:00:00,23.0740,24.8480,22.4700,24.2830
2023-01-15 08:00:00,24.2840,25.2000,22.5000,23.0900
2023-01-15 12:00:00,23.0870,23.2000,22.1400,22.6570
2023-01-15 16:00:00,22.6570,23.1210,22.0000,22.9040
2023-01-15 20:00:00,22.9050,23.9070,22.7180,23.6960
2023-01-16 00:00:00,23.6960,23.8110,22.9400,23.3900
2023-01-16 04:00:00,23.3890,23.4370,22.4730,22.9030
2023-01-16 08:00:00,22.9030,24.2800,22.4500,23.2390
2023-01-16 12:00:00,23.2400,25.1800,23.0310,24.2760
2023-01-16 16:00:00,24.2790,24.2890,22.8750,23.4000
2023-01-16 20:00:00,23.4000,23.5550,22.2300,23.0810
2023-01-17 00:00:00,23.0810,23.8600,22.8610,23.5620
2023-01-17 04:00:00,23.5630,24.3000,23.3030,23.6010
2023-01-17 08:00:00,23.6000,23.8570,22.7700,23.1920
2023-01-17 12:00:00,23.1920,23.8300,23.1330,23.4270
2023-01-17 16:00:00,23.4270,24.0000,23.3690,23.7580
2023-01-17 20:00:00,23.7590,23.9700,23.1100,23.2670
2023-01-18 00:00:00,23.2680,23.5760,23.0280,23.4410
2023-01-18 04:00:00,23.4410,23.7000,22.6600,22.8550
2023-01-18 08:00:00,22.8580,23.3390,22.6130,23.0540
2023-01-18 12:00:00,23.0520,23.3270,22.8500,22.9890
2023-01-18 16:00:00,22.9890,22.9940,22.0800,22.5330
2023-01-18 20:00:00,22.5330,23.6740,20.6450,21.7810
2023-01-19 00:00:00,21.7810,22.3000,20.3100,21.7810
2023-01-19 04:00:00,21.7820,21.8790,20.7000,20.8040
2023-01-19 08:00:00,20.8040,21.5360,20.7800,21.3500
2023-01-19 12:00:00,21.3470,21.7880,21.2640,21.3060
2023-01-19 16:00:00,21.3080,21.5130,20.7920,20.9390
2023-01-19 20:00:00,20.9370,21.1860,20.4000,21.0530
2023-01-20 00:00:00,21.0520,21.7430,20.8470,21.6380
2023-01-20 04:00:00,21.6390,21.8790,21.3020,21.4080
2023-01-20 08:00:00,21.4080,21.6280,21.0200,21.3340
2023-01-20 12:00:00,21.3340,21.4140,20.9130,21.0700
2023-01-20 16:00:00,21.0700,21.2490,20.9550,21.1320
2023-01-20 20:00:00,21.1320,21.5500,21.0730,21.4200
2023-01-21 00:00:00,21.4190,23.4000,21.4000,23.2750
2023-01-21 04:00:00,23.2760,25.8750,23.2670,25.5130
2023-01-21 08:00:00,25.5130,25.9000,24.2640,24.8630
2023-01-21 12:00:00,24.8620,25.7480,24.7220,25.5450
2023-01-21 16:00:00,25.5440,26.6870,24.2670,25.1940
2023-01-21 20:00:00,25.1940,25.6400,25.0400,25.2270
2023-01-22 00:00:00,25.2300,26.1170,25.1120,25.6350
2023-01-22 04:00:00,25.6340,25.7000,24.5000,24.5640
2023-01-22 08:00:00,24.5640,25.3290,24.3940,25.0020
2023-01-22 12:00:00,25.0030,25.4700,24.9330,25.1350
2023-01-22 16:00:00,25.1360,25.3360,24.7670,24.9050
2023-01-22 20:00:00,24.9050,25.4400,24.6360,24.9610
2023-01-23 00:00:00,24.9620,25.2850,24.6990,24.9160
2023-01-23 04:00:00,24.9160,24.9360,23.5000,24.1950
2023-01-23 08:00:00,24.1960,24.9430,24.0600,24.5340
2023-01-23 12:00:00,24.5340,24.8100,24.3250,24.4890
2023-01-23 16:00:00,24.4860,24.8360,24.1420,24.6370
2023-01-23 20:00:00,24.6360,24.7220,23.7000,24.1750
2023-01-24 00:00:00,24.1750,24.7800,23.9620,24.1830
2023-01-24 04:00:00,24.1830,24.5500,24.0350,24.3470
2023-01-24 08:00:00,24.3460,25.3000,24.0560,25.0140
2023-01-24 12:00:00,25.0140,25.0350,24.6500,24.7910
2023-01-24 16:00:00,24.7910,24.9620,24.2710,24.4690
2023-01-24 20:00:00,24.4740,24.5900,23.8620,24.4890
2023-01-25 00:00:00,24.4900,24.5490,24.0600,24.4680
2023-01-25 04:00:00,24.4680,24.5150,22.1100,22.7700
2023-01-25 08:00:00,22.7700,22.9880,22.1870,22.9160
2023-01-25 12:00:00,22.9170,23.4070,22.8510,23.2520
2023-01-25 16:00:00,23.2530,23.3890,22.9600,23.1270
2023-01-25 20:00:00,23.1280,24.5730,22.6900,23.3150
2023-01-26 00:00:00,23.3140,23.8000,23.2090,23.7310
2023-01-26 04:00:00,23.7300,25.4520,23.7100,24.5340
2023-01-26 08:00:00,24.5350,25.2510,24.4290,24.8030
2023-01-26 12:00:00,24.8030,24.9630,24.2500,24.3530
2023-01-26 16:00:00,24.3520,24.5930,24.0880,24.3290
2023-01-26 20:00:00,24.3280,25.1630,24.0700,24.2530
2023-01-27 00:00:00,24.2510,24.7420,23.7000,24.4680
2023-01-27 04:00:00,24.4690,24.6280,24.2050,24.3450
2023-01-27 08:00:00,24.3450,24.5400,23.2420,23.7260
2023-01-27 12:00:00,23.7250,24.0470,23.6630,24.0210
2023-01-27 16:00:00,24.0230,24.0380,23.5640,23.7000
2023-01-27 20:00:00,23.7000,24.2190,23.3100,23.8270
2023-01-28 00:00:00,23.8260,24.6090,23.8080,24.4910
2023-01-28 04:00:00,24.4920,24.9940,24.0270,24.4410
2023-01-28 08:00:00,24.4410,24.9060,24.2940,24.5190
2023-01-28 12:00:00,24.5200,25.3000,24.1810,24.3670
2023-01-28 16:00:00,24.3660,24.4860,24.1950,24.3230
2023-01-28 20:00:00,24.3230,24.3300,23.7000,24.1630
2023-01-29 00:00:00,24.1630,24.2250,23.9190,24.1270
2023-01-29 04:00:00,24.1270,24.1410,23.7500,24.0020
2023-01-29 08:00:00,24.0020,24.7040,23.7100,24.1330
2023-01-29 12:00:00,24.1340,24.1860,24.0150,24.1450
2023-01-29 16:00:00,24.1450,24.5520,24.0620,24.3610
2023-01-29 20:00:00,24.3620,24.8150,24.2070,24.7020
2023-01-30 00:00:00,24.7020,26.6290,24.4620,26.3460
2023-01-30 04:00:00,26.3470,26.8690,25.9550,26.0900
2023-01-30 08:00:00,26.0900,26.3340,25.2350,25.4700
2023-01-30 12:00:00,25.4700,25.6320,25.2610,25.3940
2023-01-30 16:00:00,25.3950,25.5540,23.7420,24.0110
2023-01-30 20:00:00,24.0110,24.7440,23.8410,24.3880
2023-01-31 00:00:00,24.3850,24.6480,22.9100,23.5970
2023-01-31 04:00:00,23.5950,23.9890,23.3230,23.9570
2023-01-31 08:00:00,23.9570,24.2880,23.6470,24.0080
2023-01-31 12:00:00,24.0080,24.1400,23.6490,24.1180
2023-01-31 16:00:00,24.1180,24.1500,23.4810,23.7500
2023-01-31 20:00:00,23.7490,24.3680,23.6290,24.0900
2023-02-01 00:00:00,24.0900,24.4940,24.0040,24.1890
2023-02-01 04:00:00,24.1910,24.2500,23.5750,23.9130
2023-02-01 08:00:00,23.9120,24.0330,23.6520,23.8650
2023-02-01 12:00:00,23.8650,24.0200,23.4000,23.5500
2023-02-01 16:00:00,23.5500,23.6320,23.1450,23.5410
2023-02-01 20:00:00,23.5410,23.6790,22.7000,22.8140
2023-02-02 00:00:00,22.8130,24.4500,22.4500,24.2160
2023-02-02 04:00:00,24.2180,25.2480,24.1000,25.0110
2023-02-02 08:00:00,25.0140,25.7980,24.9550,25.3080
2023-02-02 12:00:00,25.3080,25.4400,24.7560,24.8670
2023-02-02 16:00:00,24.8690,25.0980,24.8180,25.0140
2023-02-02 20:00:00,25.0150,25.2850,24.5900,25.0250
2023-02-03 00:00:00,25.0250,26.1730,24.8630,25.0640
2023-02-03 04:00:00,25.0650,25.2790,24.0050,24.3150
2023-02-03 08:00:00,24.3200,24.5000,24.0000,24.3210
2023-02-03 12:00:00,24.3210,24.5300,24.2320,24.3070
2023-02-03 16:00:00,24.3090,24.5200,24.0800,24.4780
2023-02-03 20:00:00,24.4770,25.0720,23.9700,24.8460
2023-02-04 00:00:00,24.8460,25.0380,24.3540,24.3740
2023-02-04 04:00:00,24.3740,24.8150,24.2260,24.6830
2023-02-04 08:00:00,24.6830,24.8200,24.4180,24.4590
2023-02-04 12:00:00,24.4590,24.5280,24.2790,24.4980
