日期时间(北京),开盘,最高,最低,收盘
2023-05-03 08:00:00,1.403000,1.412500,1.265200,1.393200
2023-05-04 08:00:00,1.393400,1.493100,1.294300,1.329500
2023-05-05 08:00:00,1.329500,1.380000,1.258600,1.305900
2023-05-06 08:00:00,1.305900,1.376900,1.268000,1.329100
2023-05-07 08:00:00,1.329300,1.347200,1.213500,1.241900
2023-05-08 08:00:00,1.241800,1.243500,1.011300,1.135900
2023-05-09 08:00:00,1.135600,1.213500,1.093900,1.182600
2023-05-10 08:00:00,1.182700,1.246300,1.092800,1.178300
2023-05-11 08:00:00,1.178200,1.181300,1.033000,1.072700
2023-05-12 08:00:00,1.073000,1.122600,1.012000,1.114400
2023-05-13 08:00:00,1.114300,1.139400,1.085100,1.098900
2023-05-14 08:00:00,1.098900,1.204200,1.066800,1.158100
2023-05-15 08:00:00,1.158100,1.254900,1.123300,1.191900
2023-05-16 08:00:00,1.191900,1.206000,1.139000,1.164500
2023-05-17 08:00:00,1.164500,1.214600,1.112800,1.212100
2023-05-18 08:00:00,1.212100,1.223900,1.126000,1.140900
2023-05-19 08:00:00,1.140900,1.149100,1.114800,1.130300
2023-05-20 08:00:00,1.130100,1.133900,1.108300,1.123800
2023-05-21 08:00:00,1.123900,1.153400,1.050700,1.072400
2023-05-22 08:00:00,1.072400,1.077500,1.033000,1.049700
2023-05-23 08:00:00,1.049600,1.097600,1.022300,1.052500
2023-05-24 08:00:00,1.052400,1.052400,0.925800,0.977500
2023-05-25 08:00:00,0.977500,1.010200,0.937600,0.981600
2023-05-26 08:00:00,0.981600,1.009400,0.963500,0.990600
2023-05-27 08:00:00,0.990600,1.017500,0.982400,0.998000
2023-05-28 08:00:00,0.998000,1.080000,0.991700,1.061000
2023-05-29 08:00:00,1.061100,1.100000,1.022300,1.039100
2023-05-30 08:00:00,1.039200,1.062600,0.989100,1.000400
2023-05-31 08:00:00,1.000400,1.009600,0.941300,0.973900
2023-06-01 08:00:00,0.973900,0.979500,0.938000,0.945500
2023-06-02 08:00:00,0.945400,0.963500,0.903100,0.941100
2023-06-03 08:00:00,0.941100,0.957500,0.905600,0.933200
2023-06-04 08:00:00,0.933300,0.978900,0.926500,0.960100
2023-06-05 08:00:00,0.960200,0.971500,0.737900,0.816200
2023-06-06 08:00:00,0.816400,0.850000,0.752000,0.831200
