tf,name,n,ann_factor,total_return,cagr,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,exposure,turnover_ann,trades,profit_factor,avg_win,avg_loss,t_stat
1h,VI(14) long/short,22905,8760.0,-0.9556703297927498,-0.6963108116566532,0.47748331528833854,-2.257148726281928,-3.1389984452771342,-0.9584750833119677,-0.726477739254924,0.2719546742209632,0.9993451211525868,1889.6817288801574,2471,0.7636468650124757,0.01374846773204383,-0.006725116858379427,-3.6498353333312967
1h,VI(14) long only,22905,8760.0,-0.6968393161538676,-0.36647146254658625,0.32310275655494824,-1.2511823679367584,-1.3019260438129088,-0.7467846269085289,-0.4907324673563133,0.32469635627530363,0.5176598995852434,944.649639816634,1235,0.9535129774927223,0.013041266271131027,-0.006576146444671331,-2.0231762142049963
1h,VI(21) long/short,22905,8760.0,-0.8742559972402375,-0.5475197905745122,0.4769621381916635,-1.4242898628304557,-2.000225468704227,-0.8894148964768649,-0.6155954805157168,0.27468230694037143,0.999039511023794,1564.5998690242307,2046,0.8241820794207241,0.01512329921462225,-0.006949055690346089,-2.3030930154200555
1h,VI(21) long only,22905,8760.0,-0.4920479705650527,-0.22822250023631596,0.3234285036292386,-0.6393533012401401,-0.666417383701313,-0.6243513224928806,-0.36553538370845423,0.3313782991202346,0.5193625845885178,782.49115913556,1023,1.0282553808958994,0.01414117762000729,-0.006815978045296037,-1.0338416082985231
1h,VI(34) long/short,22905,8760.0,-0.9140976652897193,-0.6088791188739768,0.47672445038383043,-1.730620430481668,-2.323339518530128,-0.9298448292231732,-0.6548179865479888,0.26657824933687,0.9984719493560358,1153.0844793713163,1508,0.7528255101817924,0.016653425833596778,-0.008040446864363417,-2.7984330506044173
1h,VI(34) long only,22905,8760.0,-0.5907122987982691,-0.2894074230118626,0.31722675020871877,-0.9182669093282855,-0.910164574946919,-0.6607606029172235,-0.4379913416964389,0.3116710875331565,0.5260860074219603,576.7334643091028,754,0.9294738302148723,0.015401472007588594,-0.007502837990089035,-1.4848481059624612
1h,VI(14) band .04 L/S,22905,8760.0,-0.9015647047853421,-0.5879676643402993,0.4769309140173023,-1.6206952549437796,-2.2451446318834796,-0.913339414596057,-0.6437559301000275,0.29646266142616506,0.9993451211525868,1361.901768172888,1781,0.8061495159889885,0.016241619131796583,-0.00848978273056549,-2.620682783185522
1h,VI(14) proportional,22905,8760.0,-0.94760265754192,-0.6762566985692493,0.42452393460440335,-2.444387921137437,-3.3515774357963726,-0.9509827359696288,-0.7111135386487675,0.21408336705787132,0.9993451211525868,1813.4180218805222,2471,0.7252875263086241,0.013714197886791006,-0.0051507046782673415,-3.952603255183683
1h,VI(14) + ER>0.3,22905,8760.0,-0.7873422669210611,-0.4468127349681732,0.29248584164035324,-1.8781308256678455,-1.6932363485473534,-0.8316552399067321,-0.5372571632185977,0.3178893178893179,0.30827330277232046,1188.6522593320237,1554,0.8975852800411165,0.009476407073648725,-0.004920271527163338,-3.0369590485217235
1h,VI(14) contrarian,22905,8760.0,-0.9182438712165752,-0.6162095047479692,0.31147162224694586,-2.9185091436276585,-2.52994699409988,-0.920728806929628,-0.6692627624010754,0.5638051044083526,0.3986029251255184,1318.302554027505,1724,0.7906718118501825,0.004982874581032009,-0.00814576964294829,-4.719262700340199
1h,VI mtf (4h regime) L/S,22905,8760.0,-0.787716003447901,-0.4471847548773329,0.3800219001449892,-1.3698677936837949,-1.591673247589721,-0.8042095404605367,-0.5560550234473084,0.32483221476510066,0.6030561012879284,1139.3163064833007,1490,0.9370904503568709,0.013114441886300541,-0.0067331095674971,-2.2150919065114385
1h,VI mtf (4h regime) L,22905,8760.0,-0.5525561767278453,-0.26476663198409744,0.2515408288259665,-1.0971142718627915,-0.9406991560914759,-0.6310938167151492,-0.4195360895186882,0.3086734693877551,0.3198428290766208,599.6804191224624,784,0.942635006235612,0.013715349996403064,-0.006496499512179089,-1.7740463388705832
1h,EMA 20/50 L/S,22905,8760.0,-0.5547396398493752,-0.2661408700733424,0.4757950416352231,-0.41245807832962333,-0.5561802972014558,-0.6678689612874671,-0.3984926467615687,0.2808219178082192,0.9978170705086226,334.6430910281598,438,0.8934429442373,0.03741291186282905,-0.016351185482011962,-0.6669494350446072
1h,EMA 20/50 long only,22905,8760.0,-0.06663688896362352,-0.026029311771819552,0.31994409868477824,0.07760419712039528,0.07587612269322667,-0.4826964792230257,-0.05392480138599257,0.3013698630136986,0.5249945426762715,167.51277013752457,219,1.088598942591298,0.0387033653243609,-0.015336749561656355,0.1254868752629317
1h,EMA 50/200 long only,22905,8760.0,0.07296222194092583,0.02729930108046985,0.315637218761841,0.24329654824686053,0.2279419785526923,-0.4173421391188529,0.06541228052865138,0.3055555555555556,0.5233791748526523,55.07269155206287,72,1.2478520716618882,0.07881436542896483,-0.027790410078463848,0.3934133041076443
1h,Donchian 20/10 L/S,22905,8760.0,-0.8811362349844635,-0.5571533424256527,0.46863974560697785,-1.5037278698154704,-2.0397863776993392,-0.8928368273954888,-0.6240259421768425,0.2793560606060606,0.971752892381576,807.3503601833661,1056,0.8269480543403275,0.02380423693886853,-0.011158694658727016,-2.4315451822300465
1h,Donchian 55/20 L/S,22905,8760.0,-0.3721316919884091,-0.1630587295461412,0.46664270452347784,-0.1482046944995775,-0.2003854249675337,-0.6484027577069151,-0.2514775386255304,0.27129337539432175,0.9716219166120934,484.5631958087754,634,1.0198673996258596,0.03335610908411935,-0.012176378711791844,-0.23964868785636442
1h,TSMOM(30) L/S,22905,8760.0,-0.9208112259658758,-0.6208642559108641,0.4771677317197692,-1.793890593698548,-2.46581356019363,-0.9294821560644783,-0.6679679129502242,0.22629202207727045,0.9985156079458634,1524.060248853962,1993,0.7691382175686641,0.016828709373254768,-0.0063993901286551825,-2.9007416289296915
1h,price > SMA100 (long),22905,8760.0,-0.416734325137326,-0.1863159775045623,0.31940354820649797,-0.48579629448527734,-0.48452045571558905,-0.6508563468570729,-0.28626282651197227,0.14716312056737588,0.5165247762497271,431.40275049115917,564,0.9908633737686167,0.036842791125214165,-0.006416109459674131,-0.7855381702447533
1h,"z-revert(24, 2.0)",22905,8760.0,-0.7336412459639661,-0.3970653025964802,0.34184457881792435,-1.3088180174772732,-1.1324157633734149,-0.768849736678117,-0.5164407083132211,0.6379716981132075,0.4493778650949574,648.2514734774068,848,0.8721598379770534,0.008151069583795238,-0.016469385918034058,-2.116373719403949
1h,RSI revert(14),22905,8760.0,-0.5266693311196942,-0.24878030908656223,0.24495476597331708,-1.0450951585079284,-0.6110465956182483,-0.6019977407044648,-0.4132578783359496,0.6112412177985949,0.20034926871862038,326.61165684348396,427,0.8448664122301835,0.008502027877755405,-0.015822201058087605,-1.689930836989636
