band,vi_len,exit,hold,sharpe,total,expo,bench_sharpe,edge
fixed,10,reenter,0,0.8986086969827884,0.31326531758151765,0.030924017234925206,0.5756674061522762,0.32294129083051226
fixed,10,reenter,12,0.8758326887439346,0.30293241494602685,0.030712790338949986,0.5756674061522761,0.30016528259165853
fixed,10,reenter,30,0.8952870538269561,0.31186889726881906,0.03091227589607399,0.5756674061522762,0.3196196476746799
fixed,10,retrace,0,0.852306431381923,0.39438461341443154,0.063289901118794,0.5756674061522766,0.27663902522964634
fixed,10,retrace,12,0.7163901492157185,0.301073884745493,0.054172715138432345,0.5756674061522765,0.140722743063442
fixed,10,retrace,30,0.8526175110415092,0.3939848873572298,0.0631043661758676,0.5756674061522762,0.276950104889233
fixed,14,reenter,0,0.8042112789906257,0.22558325774808252,0.02073147689027821,0.5756674061522762,0.22854387283834954
fixed,14,reenter,12,0.7470838389336218,0.20569471458122912,0.02050695476592008,0.5756674061522765,0.17141643278134533
fixed,14,reenter,30,0.8042112789906257,0.22558325774808252,0.02073147689027821,0.5756674061522762,0.22854387283834954
fixed,14,retrace,0,0.9958239254037852,0.406912050020962,0.04662012517257055,0.5756674061522764,0.42015651925150876
fixed,14,retrace,12,0.8513915765628032,0.3022306107856656,0.035407263058767104,0.5756674061522762,0.275724170410527
fixed,14,retrace,30,1.0069565501535045,0.40901492768365655,0.04533132965708146,0.5756674061522764,0.4312891440012281
fixed,21,reenter,0,0.5840914676999684,0.12084858247397401,0.010617523104836546,0.5756674061522762,0.008424061547692263
fixed,21,reenter,12,0.5221533199773877,0.10552511250691898,0.010433707089053832,0.5756674061522762,-0.05351408617488851
fixed,21,reenter,30,0.5840914676999684,0.12084858247397401,0.010617523104836546,0.5756674061522762,0.008424061547692263
fixed,21,retrace,0,0.3673205277696588,0.0937116518607719,0.02654474694182855,0.5756674061522762,-0.2083468783826174
fixed,21,retrace,12,0.46565705645546757,0.10511328793424313,0.016209118000088753,0.5756674061522762,-0.11001034969680862
fixed,21,retrace,30,0.2384631286005121,0.053469680593106306,0.022740478077775017,0.5756674061522762,-0.3372042775517641
quantile,10,reenter,0,0.02077420217171677,-0.04065141573684006,0.050442477493960684,0.5756674061522762,-0.5548932039805594
quantile,10,reenter,12,0.020523195611546287,-0.04069408851898659,0.05022459422099585,0.5756674061522762,-0.5551442105407299
quantile,10,reenter,30,0.019100068466410602,-0.041655809395076404,0.05043674335173102,0.5756674061522765,-0.556567337685866
quantile,10,retrace,0,-0.15380689118992194,-0.15271983827224045,0.09732159802416727,0.5756674061522765,-0.7294742973421985
quantile,10,retrace,12,-0.18229106468078551,-0.16450924984677373,0.08498518350706723,0.5756674061522765,-0.757958470833062
quantile,10,retrace,30,-0.1572393335540067,-0.15450704885849031,0.09702370295344578,0.5756674061522762,-0.732906739706283
quantile,14,reenter,0,0.5505603132928628,0.36769216718143927,0.060565980189338064,0.5756674061522761,-0.02510709285941326
quantile,14,reenter,12,0.5323347648964581,0.3473739243778289,0.059717665817074904,0.5756674061522764,-0.04333264125581826
quantile,14,reenter,30,0.5487958297067695,0.36602158877806,0.0605602460471084,0.5756674061522762,-0.02687157644550664
quantile,14,retrace,0,0.7080696151783695,0.5628617992903866,0.11004636470011615,0.5756674061522762,0.13240220902609334
quantile,14,retrace,12,0.734002111684124,0.5694312143288298,0.0897061622886089,0.5756674061522764,0.15833470553184759
quantile,14,retrace,30,0.7222685517382396,0.5777829156536727,0.10850368097797247,0.5756674061522763,0.14660114558596327
quantile,21,reenter,0,0.585903556772533,0.41895194624397836,0.07325540402843579,0.5756674061522764,0.010236150620256623
quantile,21,reenter,12,0.4679098954344311,0.29734237716883594,0.07142475654251834,0.5756674061522763,-0.10775751071784517
quantile,21,reenter,30,0.5714098863649189,0.4036955210774842,0.0732184790930625,0.5756674061522764,-0.004257519787357555
quantile,21,retrace,0,0.5011714848669347,0.35003763429871393,0.11918987844941599,0.5756674061522762,-0.07449592128534144
quantile,21,retrace,12,0.6093228766586645,0.4393568515379702,0.09400578023844423,0.5756674061522762,0.033655470506388285
quantile,21,retrace,30,0.5972153951582638,0.44358712694853764,0.11448482460131007,0.5756674061522763,0.021547989005987533
range,10,reenter,0,0.047912097751110314,0.00354567150591123,0.00821355644572841,0.5756674061522762,-0.5277553084011659
