币种,已实现年化,实际年化,已实现回撤,**实际最大回撤**,胜率,平仓次数,最深层数,爆仓,爆仓时间
1000FLOKIUSDT,-1.0,-1.0,-1.0,-1.0,1.0,12,7,是,2023-06-10
1000PEPEUSDT,-1.0,-1.0,-1.0,-1.0,1.0,38,7,是,2023-05-11
ENAUSDT,-1.0,-1.0,-1.0,-1.0,1.0,322,7,是,2024-08-03
WLDUSDT,-1.0,-1.0,-1.0,-1.0,1.0,7,7,是,2023-08-17
SUIUSDT,-1.0,-1.0,-1.0,-1.0,1.0,35,7,是,2023-06-08
TAOUSDT,-1.0,-1.0,-1.0,-1.0,1.0,2,7,是,2024-04-29
WIFUSDT,-1.0,-1.0,-1.0,-1.0,1.0,6,7,是,2024-01-22
SEIUSDT,-1.0,-1.0,-1.0,-1.0,,0,7,是,2023-08-27
ARBUSDT,0.30767531020412586,-0.6408871372477545,-0.0008298539975624131,-0.9894291445605783,1.0,387,7,,
RENDERUSDT,0.7654562916034069,-0.009847862945404962,-0.0008244660294232098,-0.9879137746371622,1.0,605,7,,
PENDLEUSDT,0.8848018111114808,0.6788361530290752,-0.0009364157016846786,-0.8347205110044713,1.0,1574,7,,
1000SHIBUSDT,0.33977361846202014,-0.12295233043431764,-0.0010255830480006,-0.7918522758410582,1.0,541,7,,
APTUSDT,0.3705337321323552,-0.10579068332116437,-0.0009182670060158271,-0.7859716056015419,1.0,679,7,,
FETUSDT,0.7184986179064816,0.5225100783025238,-0.0012265080254187932,-0.7686769290235547,1.0,1526,7,,
DYDXUSDT,0.39559269184955004,-0.038076156512407144,-0.0009484400455863629,-0.7443880766256159,1.0,699,7,,
1000BONKUSDT,0.8878156838514633,0.5372282321385613,-0.0012600126001260925,-0.6258763418584843,1.0,1186,7,,
LDOUSDT,0.47748793176058824,0.17077319487278597,-0.0008893582724216476,-0.5773091911678953,1.0,844,7,,
HYPEUSDT,2.1723737157405756,1.8171671563254446,-0.0009272060467080401,-0.5289058647803122,1.0,837,7,,
OPUSDT,0.5799556635702559,0.32203775190811434,-0.0009044248988174797,-0.5184650664492904,1.0,1223,7,,
XRPUSDT,0.5698378889436146,0.39260555049492885,-0.0007169583043936667,-0.5032802565233423,1.0,1086,7,,
TIAUSDT,0.795351328914494,0.4107687260557227,-0.0008795316493968031,-0.489764698771497,1.0,1126,7,,
BNBUSDT,0.5459230176749086,0.41276040570548744,-0.0008699198042680933,-0.4701684386427202,1.0,1105,7,,
DOGEUSDT,0.5827536565339901,0.37007261051766394,-0.001068933591448662,-0.425186529756968,1.0,1167,7,,
ETHUSDT,0.5153557845278216,0.35274202036390623,-0.0008631618698244914,-0.39195000980157646,1.0,1112,7,,
SOLUSDT,0.7997794675129379,0.6831289089194041,-0.0008050516994139167,-0.3519858506327538,1.0,2072,7,,
BTCUSDT,0.6097366287531185,0.507874928268464,-0.0008690692811168521,-0.28420156847480504,1.0,1496,7,,
