版本,年化,复利总收益,Sharpe,最大回撤,平均敞口,笔数,胜率,平均每笔,持有中位(根),年换手,周期
A 做调整 · 细,0.045784568712009394,0.23533321501553894,1.1777210408347107,-0.03164945544196296,0.02257248491924499,11.0,0.9090909090909091,0.11421245404643447,14.0,,1d
B1 推演方向·多空 · 细,-0.29571794528525264,-0.809100678772759,-0.87760424031048,-0.869680777161806,0.779431796069274,,,,,44.88811052733995,1d
B2 推演方向·只做多 · 细,-0.01582130644383482,-0.26880509237282324,-0.049576979730194745,-0.5496840042911602,0.3996886553804242,,,,,22.5150807550107,1d
B3 只做浪1/3/5 · 细,-0.1251605970025221,-0.5156585335356061,-0.5175462227375958,-0.6190436851223773,0.42167736913796455,,,,,26.91866121813582,1d
B4 只做浪3 · 细,-0.07882403398529537,-0.3867967072602516,-0.3497825743411559,-0.5211703097048961,0.38762405137186223,,,,,24.71687098657326,1d
A 做调整 · 中,0.049102323766138524,0.23749087116575462,0.5688580029380857,-0.09372772914272332,0.063922942206655,10.0,0.7,0.1605467966015002,55.0,,1d
B1 推演方向·多空 · 中,0.008344182164959217,-0.15930216560618005,0.027784987691409895,-0.4381195299082906,0.7581241486670558,,,,,21.946876824284878,1d
B2 推演方向·只做多 · 中,0.13810941733058402,0.6170445639186506,0.5168574206838515,-0.4180258434668326,0.36758124148667054,,,,,11.008951157812803,1d
B3 只做浪1/3/5 · 中,0.07909203672949813,0.2550853934705333,0.3204122809615187,-0.3661681556530505,0.415061295971979,,,,,11.506129597197898,1d
B4 只做浪3 · 中,0.03778716701542637,0.05960567587354171,0.16837039590410802,-0.3230514170676628,0.3538626191866122,,,,,9.730492313679703,1d
A 做调整 · 粗,0.0,0.0,,0.0,0.0,,,,,,1d
B1 推演方向·多空 · 粗,-0.012980763490656235,-0.24875343071270128,-0.04192446130259002,-0.5664800952595644,0.6574236232730104,,,,,5.539988324576766,1d
B2 推演方向·只做多 · 粗,0.1365915542997202,0.5946859847292436,0.5011429763392897,-0.3604479579890635,0.3220470908737108,,,,,2.8055069079587467,1d
B3 只做浪1/3/5 · 粗,-0.03833704611544393,-0.20650953419982387,-0.2594394826166487,-0.37038651584268645,0.1733800350262697,,,,,3.409223584354933,1d
B4 只做浪3 · 粗,-0.03833704611544393,-0.20650953419982387,-0.2594394826166487,-0.37038651584268645,0.1733800350262697,,,,,3.409223584354933,1d
等权买入持有（不计费用和资金费）,0.2934625388852133,0.5003533520056174,0.45722513601816955,-0.7481806081206126,1.0,,,,,0.0,1d
A 做调整 · 细,0.026478715583997215,0.11543193452963108,0.3305957585605645,-0.1100447325459899,0.07674350744091041,127.0,0.5511811023622047,0.005482231743428153,17.0,,4h
B1 推演方向·多空 · 细,-0.2288308147383785,-0.7388953418964452,-0.6766567942490243,-0.815557189758821,0.7945400901339039,,,,,292.68164575430404,4h
B2 推演方向·只做多 · 细,0.0011894562626413576,-0.1831218378585634,0.0039979779900658555,-0.5698700446610911,0.39752942320785917,,,,,146.34082287715202,4h
B3 只做浪1/3/5 · 细,-0.029485693775345063,-0.26111621717309064,-0.11149636363450224,-0.5450196634394494,0.45245274454495343,,,,,170.09191712868397,4h
B4 只做浪3 · 细,0.022528091306158425,-0.02396446738928404,0.09562992895816398,-0.4032162683470599,0.4003177382226113,,,,,148.00943487987547,4h
A 做调整 · 中,0.01825129743720277,0.07716968910704014,0.2626068401222801,-0.1404251209883427,0.04625036475051065,25.0,0.56,0.019087024640279667,69.0,,4h
B1 推演方向·多空 · 中,0.18019826685286655,0.8084719233620283,0.547010055266578,-0.5758086968219566,0.790616995752683,,,,,114.03365431378269,4h
B2 推演方向·只做多 · 中,0.20576049033309143,1.139980444514403,0.6948692283573978,-0.3294978231267872,0.3950004863340142,,,,,57.08783192296469,4h
B3 只做浪1/3/5 · 中,0.1419539621321471,0.6574272005448742,0.541245117575773,-0.4610962683235914,0.476720811853581,,,,,69.22964692150569,4h
B4 只做浪3 · 中,0.1264275406524274,0.5858633581322121,0.5317673110401033,-0.43449654939093085,0.41652887202930977,,,,,60.42505592841162,4h
A 做调整 · 粗,0.0,0.0,,0.0,0.0,,,,,,4h
B1 推演方向·多空 · 粗,-0.07682606485493511,-0.48119900822334405,-0.2163056762417533,-0.5876213470187008,0.7747462957559251,,,,,39.47864993677658,4h
B2 推演方向·只做多 · 粗,0.09304421970583777,0.2504817911845234,0.30858930465678286,-0.44185294828135135,0.3640534318970268,,,,,19.81032973446163,4h
B3 只做浪1/3/5 · 粗,-0.03482888980372285,-0.2026151864131973,-0.2127119442780434,-0.3871328831892227,0.20837791395130173,,,,,21.514444120221768,4h
B4 只做浪3 · 粗,-0.03482888980372285,-0.2026151864131973,-0.2127119442780434,-0.3871328831892227,0.20837791395130173,,,,,21.514444120221768,4h
等权买入持有（不计费用和资金费）,0.29421002782914857,0.5274828107217233,0.46105995816177614,-0.7566534299196542,1.0,,,,,0.0,4h
