分组,币数,笔数,期间涨跌中位,实际期望R,随机对照中位,超出对照,p,rule,cut,成交额中位
期间涨跌 1/4,45,200,-0.9723299888517279,0.1775869804876733,0.05106159955113565,0.12652538093653765,0.2,A 密集突破,期间涨跌,
期间涨跌 2/4,44,336,-0.8752809862869197,0.10474079978301405,0.07745979877454004,0.027281001008474012,0.43333333333333335,A 密集突破,期间涨跌,
期间涨跌 3/4,44,360,-0.7812374240860885,0.1940240961314494,0.05040518681281979,0.14361890931862958,0.1,A 密集突破,期间涨跌,
期间涨跌 4/4,44,413,-0.4102565580818991,-0.03558329997335935,0.030330861821211606,-0.06591416179457096,0.75,A 密集突破,期间涨跌,
成交额 1/4,45,340,,-0.0419628428839551,0.04005644641005106,-0.08201928929400615,0.7833333333333333,A 密集突破,成交额,5339279.2743
成交额 2/4,44,323,,0.11076382993413171,0.020186171671449208,0.0905776582626825,0.26666666666666666,A 密集突破,成交额,8583601.8381
成交额 3/4,44,299,,0.1588389323575713,0.09464682896464557,0.06419210339292572,0.23333333333333334,A 密集突破,成交额,16080402.65766
成交额 4/4,44,347,,0.16386422270852488,0.07648846977534807,0.08737575293317681,0.2,A 密集突破,成交额,44772849.36488235
期间涨跌 1/4,46,200,-0.9737862407862408,0.43495838002202075,0.10809001237113978,0.32686836765088095,0.0,B 回踩20均线,期间涨跌,
期间涨跌 2/4,45,234,-0.8886355539722124,0.07374859536506514,-0.0029090689528078976,0.07665766431787305,0.2833333333333333,B 回踩20均线,期间涨跌,
期间涨跌 3/4,45,259,-0.7838774150566289,0.26538699241086755,0.0013608073985247053,0.2640261850123428,0.016666666666666666,B 回踩20均线,期间涨跌,
期间涨跌 4/4,45,296,-0.4166457128488811,-0.06462201023150972,-0.056050585748091346,-0.008571424483418376,0.55,B 回踩20均线,期间涨跌,
成交额 1/4,46,227,,0.05371303710741919,-0.00895022943806828,0.06266326654548747,0.26666666666666666,B 回踩20均线,成交额,5365229.2513999995
成交额 2/4,45,243,,0.17790869594170738,0.006257250732616659,0.17165144520909073,0.03333333333333333,B 回踩20均线,成交额,8696754.009599999
成交额 3/4,45,234,,0.188907982707047,-0.007630882374814197,0.1965388650818612,0.05,B 回踩20均线,成交额,15965563.63802
成交额 4/4,45,285,,0.1902695538071901,-0.04131930046175822,0.23158885426894832,0.03333333333333333,B 回踩20均线,成交额,43678568.8191
