symbol,笔数,胜率,期望R,总R,多/空,止损宽度,币价涨跌,日均成交额,年化波动,rule
1000LUNCUSDT,10,0.2,-0.41517657549676823,-4.151765754967682,6/4,0.1347546451149885,-0.6800399201596806,23133002.466035,1.062389461627899,A 密集突破
1000RATSUSDT,4,0.0,-1.0085045738873568,-4.034018295549427,3/1,0.14369418197255768,-0.9101381953315526,16526907.611005,1.9195912947232947,A 密集突破
1000SATSUSDT,4,0.0,-0.8526376038132168,-3.4105504152528674,1/3,0.19157320649801463,-0.9812545454545455,45867129.9106647,1.3327999782464062,A 密集突破
1000XECUSDT,8,0.25,-0.011481346445923912,-0.0918507715673913,5/3,0.11913044690750257,-0.7065610859728506,4782859.831695,0.931348538165273,A 密集突破
1INCHUSDT,11,0.45454545454545453,0.5987579751014933,6.586337726116426,6/5,0.15690072740948696,-0.7846952010376135,13217573.19145,0.8520523403708453,A 密集突破
AAVEUSDT,8,0.375,0.3647286944040801,2.917829555232641,8/0,0.11579169439334958,0.6592436168170475,92689158.3555,0.8938253727915497,A 密集突破
ACEUSDT,1,0.0,-1.0054139777545668,-1.0054139777545668,0/1,0.24011919866191203,-0.9817699229623875,7347945.822764,1.4149099514999004,A 密集突破
ACHUSDT,11,0.09090909090909091,-0.7061286472830685,-7.767415120113753,8/3,0.18151038246581747,-0.908960810215764,11468328.295704499,1.0760650605765107,A 密集突破
ADAUSDT,12,0.16666666666666666,-0.4558172087447776,-5.469806504937331,5/7,0.1463989708598144,-0.27942353883106485,252253826.3764,0.8764006719792905,A 密集突破
AEVOUSDT,1,0.0,-1.0071413804306093,-1.0071413804306093,1/0,0.18203763440860207,-0.993984520123839,9208007.74261,1.179192790989905,A 密集突破
AGLDUSDT,7,0.42857142857142855,0.2555722620493732,1.7890058343456126,4/3,0.20109760757184036,-0.7838774150566289,6366980.5359,1.3288607413806914,A 密集突破
ALGOUSDT,8,0.375,0.49245941487588646,3.9396753190070917,4/4,0.16110417895462192,-0.5507058159232072,30455845.58125,0.8812357385211553,A 密集突破
ALICEUSDT,11,0.18181818181818182,-0.28011800379567064,-3.081298041752377,6/5,0.16510611735330827,-0.8492944496707432,9128601.38575,1.1323186277418935,A 密集突破
ALTUSDT,1,0.0,-1.006747215801639,-1.006747215801639,1/0,0.1926720647773279,-0.9817055755619024,13400340.03177,1.1363421300342793,A 密集突破
ANKRUSDT,9,0.4444444444444444,0.26809188357601393,2.4128269521841252,2/7,0.14568218954248355,-0.7850383631713556,7884265.092695,0.8377946217041778,A 密集突破
APEUSDT,7,0.2857142857142857,0.3327323307709147,2.329126315396403,4/3,0.20354397070236713,-0.9680900621118013,49650070.14965,1.0605911722905645,A 密集突破
API3USDT,8,0.25,-0.008286128597037784,-0.06628902877630227,4/4,0.17448130530407108,-0.8135375494071146,10511999.14481,1.207823101655261,A 密集突破
ARKMUSDT,5,0.4,0.5933408319639245,2.9667041598196224,4/1,0.19334261192298766,-0.8319188191881919,24612118.240450002,1.225011527785685,A 密集突破
ARKUSDT,10,0.4,0.23703860225432197,2.3703860225432196,4/6,0.15626396246332674,-0.8586420734615996,7122542.9016,1.088841162948298,A 密集突破
ARPAUSDT,10,0.3,-0.09762036526712248,-0.9762036526712248,6/4,0.12513250267893386,-0.6829323308270676,6628525.47933,1.0558433584259561,A 密集突破
ARUSDT,7,0.2857142857142857,0.13588917088435043,0.9512241961904531,6/1,0.17941162940472907,-0.7268154668343288,19627121.42515,1.1404429543765378,A 密集突破
ASTRUSDT,9,0.3333333333333333,0.3799951289692915,3.4199561607236233,4/5,0.16331797948554733,-0.9431620154059857,6607235.979049999,0.8584672642335706,A 密集突破
ATOMUSDT,9,0.4444444444444444,0.5448587420917284,4.903728678825555,4/5,0.13904453233721512,-0.8402961396086727,56883357.58292,0.7407365276001256,A 密集突破
AUCTIONUSDT,8,0.25,-0.09879704264877043,-0.7903763411901634,4/4,0.14573682168605134,-0.8998223801065719,11515474.945085,1.2222222503555868,A 密集突破
AVAXUSDT,10,0.4,0.5161962095640926,5.161962095640926,8/2,0.16624010404527814,-0.4038674033149171,220123345.986,0.8699347696270143,A 密集突破
AXLUSDT,6,0.5,0.8802202566640979,5.281321539984587,3/3,0.14915719113828932,-0.9819755961723458,8134723.929513,1.158366990834731,A 密集突破
AXSUSDT,8,0.375,0.22583078048964328,1.8066462439171462,4/4,0.16463495185822485,-0.8590794052515027,31060053.726499997,0.9838035181541251,A 密集突破
BANDUSDT,10,0.4,0.11485427230258613,1.1485427230258614,6/4,0.16098757412062425,-0.8886355539722124,6384257.13319,0.9330414019914545,A 密集突破
BATUSDT,5,0.0,-1.0108467202025198,-5.054233601012599,3/2,0.1184247050659266,-0.6631766805472933,6861760.31123,0.8221603787834777,A 密集突破
BBUSDT,2,1.0,2.9944326361881464,5.988865272376293,1/1,0.23372257316061468,-0.9723299888517279,12281002.00494,1.3348578759484042,A 密集突破
BCHUSDT,10,0.3,0.2878585572551387,2.878585572551387,5/5,0.10432391580297676,1.1165770979743694,139766031.60847998,0.8314204126091417,A 密集突破
BEAMXUSDT,3,0.6666666666666666,0.8428677850583277,2.528603355174983,1/2,0.18422789393762393,-0.8338427680645556,10804872.9369515,1.0650199073967002,A 密集突破
BELUSDT,12,0.4166666666666667,0.6552858876444797,7.863430651733757,7/5,0.12863486061835167,-0.7263934843471622,8696754.009599999,1.1546560367752345,A 密集突破
BICOUSDT,5,0.2,-0.20871763899894877,-1.0435881949947439,4/1,0.17099074787972243,-0.9025272161741835,3837992.96345,1.347130708386574,A 密集突破
BIGTIMEUSDT,4,0.5,0.4033066674620332,1.6132266698481328,2/2,0.22398885533987134,-0.980874857360213,17008409.20025,1.371957715295625,A 密集突破
BLURUSDT,4,0.25,-0.00602543361196084,-0.02410173444784336,2/2,0.21860280180492114,-0.980911598200029,16195241.6773,1.0863371744207024,A 密集突破
