symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
MASKUSDT,11,1.5758425703423347,17.33426827376568,2.9932450853369876,0.5454545454545454,14.341023188428693,0.17267790241062986,1322,28389534.233999997,0.9690760194063506,-0.8329035339063993,-0.9500295595625184,-0.9482855453739285,0.3300964046724075,A 密集突破
CFXUSDT,10,1.5017581375498044,15.017581375498043,2.994063200815494,0.4,12.023518174682549,0.19937053284095815,1272,36254900.46523,1.2789576943767922,-0.8687404229236899,-0.9264532353225651,-0.9171486604120321,3.7585665087022346,A 密集突破
IMXUSDT,9,1.214767475656734,10.932907280910605,2.9942288639222663,0.5555555555555556,7.938678416988338,0.27387306843352976,1322,19939483.21195,1.0343576869984779,-0.7184415584415584,-0.9708687311592217,-0.9702932310221979,0.4653124343413439,A 密集突破
DOTUSDT,9,1.093320709049181,9.839886381442629,2.993749747822099,0.5555555555555556,6.84613663362053,0.30424637356261675,1322,125685186.4425,0.7895402977534877,-0.8249370277078085,-0.9344341661623584,-0.9339068038385061,0.7338253748022299,A 密集突破
CYBERUSDT,6,1.5392508319261526,9.235504991556915,2.993695892928674,0.6666666666666666,6.2418090986282415,0.3241507525214383,1090,8440424.78865,1.256292342533432,-0.9394521668029436,-0.9793775673605792,-0.9793775673605792,3.56265947787633,A 密集突破
UNIUSDT,9,0.9483402905037845,8.535062614534061,2.992714762788231,0.4444444444444444,5.54234785174583,0.3506377044840938,1322,80151631.18349999,0.9827109861590178,-0.39050886220697545,-0.8713802181271154,-0.8281846021597807,1.9741411694123916,A 密集突破
EGLDUSDT,12,0.6846955704070652,8.216346844884782,2.991768376260278,0.6666666666666666,5.224578468624504,0.36412391452569354,1322,11835760.86425,0.8295783828423049,-0.9193499392466585,-0.9667639257294429,-0.964787798408488,0.29425075986607496,A 密集突破
QNTUSDT,13,0.6100684247674821,7.930889521977267,2.9921811420415376,0.5384615384615384,4.938708379935729,0.3772819093936326,1322,7655134.0225,0.7335775268707179,-0.44972543078962324,-0.6584307581053392,-0.6497529227431602,0.9834497828024374,A 密集突破
SNXUSDT,8,0.990165698189099,7.921325585512792,2.9942875672255616,0.5,4.927038018287231,0.3780033448822978,1322,18350810.55085,1.1075955450132893,-0.8658536585365854,-0.9614993149344294,-0.9612448620082208,2.7567376818812113,A 密集突破
BELUSDT,12,0.6552858876444797,7.863430651733756,2.9947475746623553,0.4166666666666667,4.868683077071401,0.38084491455419184,1322,8696754.009599999,1.1546560367752345,-0.7263934843471622,-0.9617187873000717,-0.9486751014561948,1.0218871907294027,A 密集突破
ZECUSDT,9,0.8705179493277067,7.83466154394936,2.9913106852497098,0.4444444444444444,4.84335085869965,0.3818047108314299,1322,24582014.308339998,1.0994358564619076,12.245232339511148,-0.7178577051338935,-0.2942220441111223,1.6681317793704422,A 密集突破
YFIUSDT,8,0.9348454170109225,7.47876333608738,2.988578039312561,0.625,4.490185296774818,0.39960858567241114,1322,8523553.6325,0.7855735649712923,-0.6253164556962025,-0.8886140314711743,-0.8677935820792964,1.055489812650991,A 密集突破
SKLUSDT,8,0.8967075312111475,7.17366024968918,2.992507422227959,0.5,4.181152827461221,0.4171520978230908,1322,6814725.86498,1.152061388515099,-0.828900883218842,-0.9729146692233941,-0.9721396612336209,2.2266695089458937,A 密集突破
1INCHUSDT,11,0.5987579751014932,6.586337726116425,2.993929800139206,0.45454545454545453,3.592407925977219,0.4545666992246008,1322,13217573.19145,0.8520523403708453,-0.7846952010376135,-0.9042195941013287,-0.8788144254635714,0.29346317210196676,A 密集突破
CTSIUSDT,10,0.6335177056619392,6.335177056619392,2.9935698769007963,0.5,3.3416071797185953,0.47253136733928,1322,6296502.524,1.1231659326834504,-0.7607992388201713,-0.9512,-0.9408470588235294,2.975537344908779,A 密集突破
BBUSDT,2,2.9944326361881464,5.988865272376293,2.9946030105785724,0.5,2.9942622617977204,0.5000284485261693,824,12281002.00494,1.3348578759484042,-0.9723299888517279,-0.9865492957746479,-0.9854342723004695,0.9715905364836059,A 密集突破
IDUSDT,6,0.9922930225635679,5.953758135381407,2.9920607304698095,0.5,2.9616974049115976,0.502549929378032,1241,10811840.7676,1.1563587884326674,-0.9443057132046916,-0.9862274065946758,-0.9829993647860484,3.455096290285642,A 密集突破
IOSTUSDT,9,0.6570480877564007,5.913432789807606,2.991850533025606,0.5555555555555556,2.921582256782,0.5059414115913112,1322,5315967.501429,0.7979502443181374,-0.9203059604560543,-0.961856675255937,-0.9615432829584233,0.12763002048097116,A 密集突破
