平仓方式,笔数,目标可用率,目标平均R,胜率,期望R,去掉最好1%,最大单笔R,最好1%占总盈利,中位持仓,超时,panel,tf,rule
赔率平仓 1:2,1309,1.0,2.0,0.3582887700534759,0.013648966258094378,-0.006222794710216412,1.99476764435872,0.03034501543896679,13.0,0.059587471352177235,样本外 181 币,1d,A 密集突破
赔率平仓 1:3,1309,1.0,3.0,0.3147440794499618,0.0961520829205132,0.0670794961575039,2.9947475746623553,0.03819729923116422,16.0,0.10695187165775401,样本外 181 币,1d,A 密集突破
赔率平仓 1:5,1309,1.0,5.0,0.27883880825057294,0.16629494215088864,0.11787103394867257,4.994644820096328,0.05610891027307818,18.0,0.1779984721161192,样本外 181 币,1d,A 密集突破
上一个均线密集,1309,0.5257897156202241,2.977675614549614,0.3972498090145149,0.03599722313179789,-0.011139795456199707,8.70635669168461,0.07393144475751082,11.0,0.08632543926661573,样本外 181 币,1d,A 密集突破
斐波那契 1.618,1309,1.0,2.782298864651699,0.34835752482811305,0.026372907181517614,-0.0340408491545867,8.12824861773117,0.08902008133477875,13.0,0.09702062643239114,样本外 181 币,1d,A 密集突破
斐波那契 2.618,1309,1.0,6.024917998622776,0.28418640183346067,0.11369746031273142,0.03500622459231533,12.041115030721738,0.09572265027861544,18.0,0.1711229946524064,样本外 181 币,1d,A 密集突破
斐波那契 3.618,1309,1.0,9.267537132593853,0.2689075630252101,0.21412167656943334,0.10751340058190798,16.526827611288926,0.11441488116892225,19.0,0.20168067226890757,样本外 181 币,1d,A 密集突破
斐波那契 4.236,1309,1.0,11.27147575738798,0.2597402597402597,0.22976470528598852,0.10125107323996194,19.747188391038712,0.13417564258104175,19.0,0.20932009167303284,样本外 181 币,1d,A 密集突破
赔率平仓 1:2,989,1.0,2.0,0.3690596562184024,0.060059768415195704,0.04030824018735577,1.994706242451093,0.028264904998529673,2.0,0.015166835187057633,样本外 181 币,1d,B 回踩20均线
赔率平仓 1:3,989,1.0,3.0,0.3083923154701719,0.1555672025538091,0.12659241675813732,2.9939923489243596,0.03471542681935378,2.0,0.029322548028311426,样本外 181 币,1d,B 回踩20均线
赔率平仓 1:5,989,1.0,5.0,0.243680485338726,0.2801480830920521,0.23203841994291055,4.991615802514825,0.04748977852543377,3.0,0.06066734074823053,样本外 181 币,1d,B 回踩20均线
上一个均线密集,989,0.21959591973404127,4.223252195842658,0.3185035389282103,0.19877131951437738,0.080289239310443,69.19549116253452,0.13214809293270358,2.0,0.030333670374115267,样本外 181 币,1d,B 回踩20均线
斐波那契 1.618,989,1.0,18.59354137815333,0.19716885743174925,0.5305836333883541,0.28388690424318497,55.83646674125024,0.18330592565913795,3.0,0.13245702730030334,样本外 181 币,1d,B 回踩20均线
斐波那契 2.618,989,1.0,39.333649790263195,0.1769464105156724,0.7201124752538994,0.32016432220283847,66.9834653750066,0.25652035364915254,4.0,0.14762386248736098,样本外 181 币,1d,B 回踩20均线
斐波那契 3.618,989,1.0,60.07375820237308,0.17492416582406473,0.813769816605165,0.3754567155927415,67.73189779168464,0.26514164221143605,4.0,0.16481294236602628,样本外 181 币,1d,B 回踩20均线
斐波那契 4.236,989,1.0,72.89114520105697,0.17391304347826086,0.8230051084554265,0.35626886318934886,81.922576574298,0.28051553937047874,4.0,0.16885743174924167,样本外 181 币,1d,B 回踩20均线
赔率平仓 1:2,1776,1.0,2.0,0.36092342342342343,0.02526340053539181,0.005133799713020969,1.9941392849494024,0.030126213595872108,16.0,0.046734234234234236,样本内 26 币,4h,A 密集突破
赔率平仓 1:3,1776,1.0,3.0,0.29617117117117114,0.027712763844813984,-0.00261451729873244,2.991755090525094,0.041196675876730274,21.0,0.0945945945945946,样本内 26 币,4h,A 密集突破
赔率平仓 1:5,1776,1.0,5.0,0.25731981981981983,0.049518681508142176,-0.0010409472704203029,4.9916027361165485,0.06338631912447303,25.0,0.1661036036036036,样本内 26 币,4h,A 密集突破
上一个均线密集,1776,0.7998539422344145,2.6028039144270827,0.42792792792792794,-0.06001385701151827,-0.11378271351778174,8.549670087517331,0.10435231457213111,11.0,0.06587837837837837,样本内 26 币,4h,A 密集突破
斐波那契 1.618,1776,1.0,2.518999393008116,0.35585585585585583,0.06782625471244172,0.005640940183236795,7.920300509337794,0.08639605973147059,17.0,0.05855855855855856,样本内 26 币,4h,A 密集突破
斐波那契 2.618,1776,1.0,5.554834365741335,0.2533783783783784,0.03682671024954723,-0.06197170917797934,13.222347478991573,0.12442897522729679,25.0,0.16385135135135134,样本内 26 币,4h,A 密集突破
斐波那契 3.618,1776,1.0,8.590669338474555,0.24605855855855857,0.08304269587524468,-0.041634191952995794,18.097149831320998,0.14744262941027364,27.0,0.21002252252252251,样本内 26 币,4h,A 密集突破
斐波那契 4.236,1776,1.0,10.466815351623685,0.24436936936936937,0.09521690245238139,-0.04232982050337494,21.932444354388593,0.1600601143157596,28.0,0.22691441441441443,样本内 26 币,4h,A 密集突破
赔率平仓 1:2,1104,1.0,2.0,0.358695652173913,-0.007060119064735268,-0.027135553671306267,1.9914858945426603,0.028838973784806387,1.0,0.0018115942028985507,样本内 26 币,4h,B 回踩20均线
赔率平仓 1:3,1104,1.0,3.0,0.27898550724637683,0.027169171282825855,-0.002609002700456071,2.9914858945426603,0.03696179980459377,2.0,0.005434782608695652,样本内 26 币,4h,B 回踩20均线
赔率平仓 1:5,1104,1.0,5.0,0.1983695652173913,0.06688419733752016,0.017392064008564467,4.99148589454266,0.05326047811494796,2.0,0.016304347826086956,样本内 26 币,4h,B 回踩20均线
上一个均线密集,1104,0.7524890114802752,8.689174060791496,0.22826086956521738,-0.21730483031485429,-0.3546530551598912,25.77599220164553,0.21993105475513705,2.0,0.01358695652173913,样本内 26 币,4h,B 回踩20均线
斐波那契 1.618,1104,1.0,14.624407551284865,0.11684782608695653,0.1672693635034156,-0.17708132896883727,48.88561472339927,0.30462273209159557,3.0,0.017210144927536232,样本内 26 币,4h,B 回踩20均线
斐波那契 2.618,1104,1.0,31.21765000410634,0.08967391304347826,0.10879495315030627,-0.2921793744113372,81.07359853368185,0.36380050943516096,3.0,0.0661231884057971,样本内 26 币,4h,B 回踩20均线
斐波那契 3.618,1104,1.0,47.81089245692782,0.08695652173913043,0.10275168191290668,-0.32060975210779213,115.46617421033899,0.3851244028940234,3.0,0.07880434782608696,样本内 26 币,4h,B 回踩20均线
斐波那契 4.236,1104,1.0,58.0655162927715,0.08695652173913043,0.10067110269945484,-0.3223469224812384,105.67889779448794,0.3855289949854407,3.0,0.08152173913043478,样本内 26 币,4h,B 回踩20均线
