周期,规则,组,币数,笔数,期望R,随机对照,超出对照,p
1d,A 密集突破,主流6币,6,64,0.4396291643640481,-0.001959004901089978,0.44158816926513805,0.03333333333333333
1d,A 密集突破,其余20个开发币,20,123,0.11184431109351937,0.000601601212814381,0.11124270988070499,0.23333333333333334
1d,A 密集突破,样本外181币,177,1309,0.0961520829205132,0.04309666212029678,0.05305542080021641,0.2
1d,B 回踩20均线,主流6币,6,45,0.4600984698247537,-0.05969198994955885,0.5197904597743126,0.06666666666666667
1d,B 回踩20均线,其余20个开发币,19,100,0.36948659844300025,-0.010652586413435184,0.38013918485643544,0.0
1d,B 回踩20均线,样本外181币,181,989,0.1555672025538091,0.004363966763509931,0.15120323579029918,0.0
4h,A 密集突破,主流6币,6,463,0.03679025954442242,0.009776707055537539,0.027013552488884884,0.36666666666666664
4h,A 密集突破,其余20个开发币,20,1313,0.024511788590496617,0.01097190538353207,0.013539883206964547,0.38333333333333336
4h,B 回踩20均线,主流6币,6,254,0.07304244555366386,-0.07465767346509591,0.1477001190187598,0.08333333333333333
4h,B 回踩20均线,其余20个开发币,20,850,0.013461157559540159,-0.07353016857354305,0.08699132613308322,0.05
