规则,对照,实际止损宽度,随机止损宽度,实际胜率,随机胜率中位,随机胜率95%,p(胜率),实际期望R,随机期望中位,随机期望95%,p(期望),panel
A 密集突破,波动对照(ATR倍数),0.0623739595027326,0.06692151368018653,0.29617117117117114,0.3055239900218321,0.32633977854889307,0.75,0.027712763844813984,0.009663627077683708,0.08516073400808685,0.38,4h_ins
A 密集突破,百分比对照,0.0623739595027326,0.06224381947562446,0.29617117117117114,0.30602477477477474,0.3232263513513513,0.82,0.027712763844813984,0.004658275904825122,0.07473115004413404,0.31,4h_ins
B 回踩20均线,波动对照(ATR倍数),0.019221281495354563,0.019512748940840666,0.27898550724637683,0.2511977864391822,0.2757392721347094,0.02,0.027169171282825855,-0.08706891885065154,0.011904752743146802,0.01,4h_ins
B 回踩20均线,百分比对照,0.019221281495354563,0.019119806205362806,0.27898550724637683,0.2567934782608695,0.27631340579710145,0.04,0.027169171282825855,-0.0787795296661383,-0.012963166177462937,0.01,4h_ins
B 回踩20均线,止损构造对照(上根极值),0.019221281495354563,0.01464086861147218,0.27898550724637683,0.2504375741217847,0.27588109114456855,0.03,0.027169171282825855,-0.10497475699128116,-0.0031755714293513993,0.03,4h_ins
A 密集突破,波动对照(ATR倍数),0.15614351448824781,0.14723164516824672,0.3147440794499618,0.30180228212857774,0.3231917336394948,0.2,0.0961520829205132,0.048250737904403845,0.12640950874181014,0.25,1d_oos
A 密集突破,百分比对照,0.15614351448824781,0.15705056701989217,0.3147440794499618,0.3048128342245989,0.3187165775401069,0.13333333333333333,0.0961520829205132,0.05460383809582377,0.1104359819605996,0.13333333333333333,1d_oos
B 回踩20均线,波动对照(ATR倍数),0.05617977622471908,0.05337851333139135,0.3083923154701719,0.263103024311101,0.28351283627001195,0.0,0.1555672025538091,-0.0010926479315744744,0.07977162750418468,0.0,1d_oos
B 回踩20均线,百分比对照,0.05617977622471908,0.05634028992471912,0.3083923154701719,0.26693629929221435,0.2883720930232558,0.0,0.1555672025538091,-0.003525039462999123,0.07163348477739744,0.0,1d_oos
B 回踩20均线,止损构造对照(上根极值),0.05617977622471908,0.03159648574504464,0.3083923154701719,0.24631325628953704,0.2701361862969156,0.0,0.1555672025538091,-0.08517844215905138,0.011421145225839278,0.0,1d_oos
