symbol,band,sharpe,ret,maxdd,trades
1000BONKUSDT,fixed,0.5536868368794475,0.32257836019885455,-0.18284447094160738,33
1000BONKUSDT,rolling q86/q14,0.024548519516471225,-0.14500486394573153,-0.38792362286359006,88
1000BONKUSDT,rolling range 80/20,0.5881840296365319,0.2533652782942568,-0.15318658674544183,25
1000FLOKIUSDT,fixed,-1.0684390019062548,-0.7510558166522665,-0.7864804133526655,39
1000FLOKIUSDT,rolling q86/q14,-0.6989846203936242,-0.7371046852753553,-0.829667967539425,96
1000FLOKIUSDT,rolling range 80/20,0.3100146185232158,0.11208397692041339,-0.18693904968820862,23
1000PEPEUSDT,fixed,-0.9413851621039645,-0.6735811361176632,-0.7508676086644381,44
1000PEPEUSDT,rolling q86/q14,-0.18657430685941828,-0.39757491065811756,-0.5153591881122199,114
1000PEPEUSDT,rolling range 80/20,0.25392267447453404,0.10561554018249586,-0.26215112472634816,28
1000SHIBUSDT,fixed,0.09417740871383491,-0.015271378862121932,-0.40400754055667676,30
1000SHIBUSDT,rolling q86/q14,-0.48111215474377117,-0.6254617962910116,-0.7657859316500559,123
1000SHIBUSDT,rolling range 80/20,0.6103217956688543,0.5195897533005891,-0.2035292037895189,25
APTUSDT,fixed,-0.419631442558886,-0.23476552731147282,-0.2843645238405912,20
APTUSDT,rolling q86/q14,0.09998387319634201,-0.026386413159930622,-0.5193693966181792,115
APTUSDT,rolling range 80/20,0.7531022223085088,0.2830832533003458,-0.13482679904055173,26
ARBUSDT,fixed,0.07315008917383892,0.006477457972203782,-0.13731478976968403,49
ARBUSDT,rolling q86/q14,0.2959361773733471,0.15677366638421408,-0.3150590914243948,121
ARBUSDT,rolling range 80/20,0.39469657454553786,0.11338720348394804,-0.09774963228959554,20
BNBUSDT,fixed,0.5816849069784027,0.19303813572915707,-0.09469929745244066,74
BNBUSDT,rolling q86/q14,-0.07787499051974908,-0.11305766453947708,-0.2848193086849704,137
BNBUSDT,rolling range 80/20,0.0026863311734998787,-0.01820025506435141,-0.1542398146088073,42
BTCUSDT,fixed,-1.4659490019330748,-0.38695095331108753,-0.45504635148855455,76
BTCUSDT,rolling q86/q14,-0.5022627653169343,-0.24237615042997818,-0.28457322640876115,112
BTCUSDT,rolling range 80/20,-0.1953676353225755,-0.05013042309111326,-0.09723384782152877,49
DOGEUSDT,fixed,-0.9000164715870986,-0.49644614237254736,-0.6353543605547585,44
DOGEUSDT,rolling q86/q14,-0.16497513931664143,-0.3430925588232979,-0.6345980588852054,131
DOGEUSDT,rolling range 80/20,-0.30227220997607274,-0.24511430858393057,-0.5320258202975663,41
DYDXUSDT,fixed,0.3820116224243085,0.1802735149104251,-0.161839863713799,44
DYDXUSDT,rolling q86/q14,0.2896801639334371,0.15837217988850139,-0.3117113848741653,118
DYDXUSDT,rolling range 80/20,1.15783776500332,0.3072501045369258,-0.019791152121500066,13
ENAUSDT,fixed,-0.19880727585688673,-0.08562409661164339,-0.2888553785142419,26
