信号窗口,再平衡,零成本Sharpe,零成本年化,年换手,打平成本bp,净Sharpe,净年化,panel
1d,1d,0.3505125769575165,0.03439589855966818,439.4734877759435,0.7826615146623866,-2.1210371730614783,-0.22270696065817364,全部 207 币
1d,2d,-0.31191946567612633,-0.03950614965578403,216.89500535728405,-1.8214411895150302,-1.5925501853533428,-0.16586169549305552,全部 207 币
1d,3d,-0.3190970058437759,-0.04098724365912665,144.79919585653798,-2.830626469758533,-1.161725408516762,-0.12715955734177664,全部 207 币
1d,5d,-0.3694048559245473,-0.04325783756014423,87.53459245149048,-4.941799161756155,-0.911837079632883,-0.09618992565692741,全部 207 币
1d,10d,-0.1722170019213178,-0.02120777128759599,44.187828229857615,-4.799459972840653,-0.46761325261276565,-0.048932898094653066,全部 207 币
2d,1d,0.2675710683089634,0.024963269850169167,305.2024137274583,0.8179250467023186,-1.4082607430413043,-0.1595143072994445,全部 207 币
2d,2d,-0.17367800691023483,-0.026820849912635003,218.83177633856022,-1.2256378100747025,-1.3895347127220339,-0.15588175630058776,全部 207 币
2d,3d,-0.30937173286838954,-0.041049554935027155,145.10282627027013,-2.828997614324052,-1.1334538839343926,-0.12739048522271135,全部 207 币
2d,5d,-0.28615476778549725,-0.03505922114314908,86.96636044801606,-4.03135430326599,-0.8235818949370554,-0.08809440860644158,全部 207 币
2d,10d,-0.2651792673644208,-0.030700304733900063,44.260776936104776,-6.936232678025349,-0.5561455051670396,-0.05818434859174382,全部 207 币
3d,1d,0.03684972070431838,-0.0028924452879430795,248.80915339057572,-0.11625156263453763,-1.2948897696583075,-0.15182787367726125,全部 207 币
3d,2d,-0.18944590048652002,-0.029334526017318563,176.13594984839108,-1.6654479703074947,-1.1482724654388632,-0.1343603564913649,全部 207 币
3d,3d,-0.6335413008019103,-0.07442410953763623,145.5745024615423,-5.112441277777852,-1.4779563342403634,-0.15801431002963406,全部 207 币
3d,5d,-0.23119047063009093,-0.029482895352911487,87.38936635173889,-3.373739458670973,-0.7694819472806076,-0.08309325860850125,全部 207 币
3d,10d,-0.160770607198415,-0.02199105698353998,44.10854596880227,-4.98566808325401,-0.43584879737071935,-0.049626439884856155,全部 207 币
5d,1d,-0.5004143875087897,-0.06530307205244257,193.67743433681812,-3.3717439657361488,-1.544459482273799,-0.17591510802416055,全部 207 币
5d,2d,-0.5801515095860154,-0.07343115563727354,136.54377215526003,-5.377847299675965,-1.3253125670198005,-0.1521453433490657,全部 207 币
5d,3d,-0.848739582442283,-0.1022723174813831,111.30703403237865,-9.188306774182179,-1.4582309131315578,-0.16495084661155912,全部 207 币
5d,5d,0.13022352047360422,0.008183831122215546,87.84538001028041,0.9316177038858281,-0.41573026627005194,-0.047792737433550725,全部 207 币
5d,10d,-0.3110936826267697,-0.03726837931912341,43.67643779801216,-8.532833994263974,-0.5833630278425155,-0.06420838141093987,全部 207 币
10d,1d,-0.28120505544384683,-0.04001613491302969,137.0069719431407,-2.9207371234827955,-1.0248440879030916,-0.1218323514837214,全部 207 币
10d,2d,-0.39391922627730513,-0.05312669531973102,96.533888237875,-5.503424371430923,-0.9154566819883103,-0.11073381795459969,全部 207 币
10d,3d,-0.2999687832888299,-0.041423195627966924,79.46455234625941,-5.21278914999347,-0.7389650539511813,-0.08967395502696096,全部 207 币
10d,5d,-0.4874358933587055,-0.05787329353446735,61.70392671428331,-9.379191344247262,-0.8508339873318806,-0.09494025815506679,全部 207 币
10d,10d,-0.48151183006251247,-0.056032580348446714,44.012003306843646,-12.731204248485987,-0.7470923081171931,-0.08266142529623399,全部 207 币
1d,1d,0.7511985476979198,0.09633038929111448,440.66891089956283,2.186003752669316,-1.3782944550197995,-0.1767722734425664,样本外 181 币
1d,2d,0.09071026001696178,0.0033752636378554524,217.2924285717048,0.1553327771262698,-1.0001969693460797,-0.12880645260766765,样本外 181 币
1d,3d,0.16882637642864715,0.01358410246960906,145.01463776729497,0.9367400890527667,-0.5575767123610287,-0.07760486002930156,样本外 181 币
1d,5d,-0.10968328279543917,-0.019630565577744896,87.73431210449148,-2.237501509599222,-0.5952087652309723,-0.07396374764174751,样本外 181 币
1d,10d,0.04926856774430795,-0.0007164713270252365,44.85436279038305,-0.1597328069007483,-0.2124495870918894,-0.029420560589236366,样本外 181 币
2d,1d,0.7569512251326758,0.0972290161655387,306.99811557203276,3.167088370701262,-0.7258676709776023,-0.10127699585531302,样本外 181 币
2d,2d,0.38225839830164055,0.04321063687550475,220.02315737237737,1.9639131349421128,-0.6854656827834226,-0.09577849159665452,样本外 181 币
2d,3d,0.5556434636661249,0.06661838302038392,146.14789437156347,4.5582855166571665,-0.16574138503188127,-0.03006563219610714,样本外 181 币
2d,5d,0.0336048155231397,-0.0030230744288428646,87.00679778916901,-0.3474526710163778,-0.44528906644585514,-0.057821733991316515,样本外 181 币
2d,10d,0.34390621513141034,0.03249811205059783,44.89540500560037,7.238627660568811,0.08091640084073042,0.0028345124709403535,样本外 181 币
3d,1d,0.6615233487621857,0.08369651234091813,250.92079481961827,3.335574973014325,-0.5434427410545786,-0.07940332886367785,样本外 181 币
3d,2d,0.5244402776191934,0.06329762096622238,177.56939882138744,3.564669441151392,-0.33659878484375455,-0.052573474216881855,样本外 181 币
3d,3d,0.09747396253643242,0.004358273904178089,146.51217197533458,0.29746838405424825,-0.6551609893846506,-0.08689261147400207,样本外 181 币
3d,5d,0.19014347668512996,0.015407012940622744,87.53630325167933,1.7600712353965176,-0.3024868752616492,-0.04075974420875872,样本外 181 币
3d,10d,0.10988252380167313,0.006040912270508958,44.51068053305199,1.3571826353055194,-0.14090314751002017,-0.022617140314868833,样本外 181 币
5d,1d,0.18251050917499065,0.015767852765287582,196.58171227730065,0.802101710409626,-0.7489101247891229,-0.10610018456675574,样本外 181 币
5d,2d,0.06864872845360949,0.0002827645905509879,138.01821714903505,0.020487483202717552,-0.6054351572887593,-0.08553285620777618,样本外 181 币
5d,3d,-0.24355565432236587,-0.04015296899267995,112.42739536767833,-3.5714577271282666,-0.7960946042478616,-0.10780383457314069,样本外 181 币
5d,5d,0.5323472976175627,0.05601744265764208,88.6589381923557,6.318307414883069,0.030141378232958434,-0.0031218931449447096,样本外 181 币
5d,10d,0.016534988532967386,-0.004712618788064504,43.92619818777232,-1.0728492295006649,-0.23181449971597365,-0.03270305705309828,样本外 181 币
10d,1d,0.47142946617646475,0.055181786004202316,140.17730585369873,3.9365705930883594,-0.21596616792952955,-0.03671396567915519,样本外 181 币
10d,2d,0.42907643743569296,0.04948256076256774,98.82105619618169,5.0072892020435305,-0.05325387413674784,-0.01580308613074688,样本外 181 币
10d,3d,0.42593942577414157,0.048182288695928444,81.10157769198584,5.9409804429352855,0.021672832740748788,-0.005628918621302215,样本外 181 币
10d,5d,0.1336694153929819,0.008886315151817259,62.561409454482316,1.4204147939286211,-0.20572651890314592,-0.03133207064355048,样本外 181 币
10d,10d,-0.22261457241606428,-0.032745611197802726,44.43547852118092,-7.3692491422577975,-0.4676298380056108,-0.06027006346559949,样本外 181 币
