信号,Sharpe,年化,波动,回撤,对大盘beta,年化alpha,PC1敞口均值,PC1敞口标准差,PC1择时相关,年换手,年化成本,面板
raw 14d,0.8343016260975797,0.200884732646762,0.25933584903393003,-0.2857504575564913,-0.0429742823938766,0.22025784655420239,0.000359664718850027,0.0067652225475910155,-0.03940299744122885,72.01127842391749,0.04680733097554636,① 样本内 26 币
vol-norm 14d,1.4104521664021454,0.34510444280168695,0.22857121854273452,-0.22452108527165504,0.0001243250711430998,0.32237750635728085,0.0010760641044613955,0.0031853498196431807,-0.02538731784840354,65.18415966561675,0.04236970378265088,① 样本内 26 币
resid 14d k=1,1.398507445945871,0.3349071730129145,0.2244009886418013,-0.2111071816706862,0.0009794492201078634,0.31373771411716717,0.001241082623791308,0.00311832288229932,-0.020858805973130615,64.8540399067789,0.04215512593940628,① 样本内 26 币
resid 14d k=3,1.2996638269014067,0.29328536463440646,0.21566007120282887,-0.22216270582024344,-0.0015552881888717587,0.2804265045864537,0.0009906240616373149,0.0030749284779336868,-0.01276960001025496,64.20569238139609,0.04173370004790745,① 样本内 26 币
resid 14d k=5,1.395303829201353,0.3112643327564837,0.20987668348296215,-0.22982596779157272,0.00035350443309278595,0.29280971216144325,0.0009152287635113217,0.0028836790258499547,-0.02461943090863395,64.63761623717166,0.04201445055416157,① 样本内 26 币
raw 14d,-0.6266989356361684,-0.10212589446647835,0.15316568713934328,-0.3588508391395504,-0.034260810715858396,-0.09288469899803095,0.000965354652444219,0.004280302808549871,0.011186707873955194,76.21788039756072,0.04954162225841447,② 样本外 181 币（从未参与开发）
vol-norm 14d,0.051359280596337445,-0.0023374870036925177,0.13705736488547915,-0.23726134230791207,0.001488211428671974,0.006904333765698137,0.001924354779352765,0.004481317288610832,-0.008753244013578276,69.27128937268414,0.0450263380922447,② 样本外 181 币（从未参与开发）
resid 14d k=1,-0.10739963283440923,-0.023491548267449813,0.1356998224248242,-0.23262212737838817,-0.0023519257943589627,-0.014361023561529431,0.001815379578024354,0.003017106112554257,-0.021559220649224477,68.82391412221321,0.04473554417943859,② 样本外 181 币（从未参与开发）
resid 14d k=3,-0.1842475230145935,-0.030801903112892992,0.12642905502228982,-0.19977066465211013,-0.002619237690302606,-0.02305693387614072,0.0016075697738844978,0.0026921477223470704,-0.012368957665033766,68.82127640961806,0.04473382966625174,② 样本外 181 币（从未参与开发）
resid 14d k=5,-0.02739846146320209,-0.011181197142166588,0.12506725779238914,-0.1727986461160841,-0.004062019638243456,-0.0030586261690607954,0.0014628653910256466,0.002736141403118415,-0.015568934237989942,69.10292639700346,0.04491690215805224,② 样本外 181 币（从未参与开发）
raw 14d,-0.1657806516031687,-0.03392388140025393,0.14490306334829858,-0.2355933024504535,-0.03545562974989027,-0.020809797991125825,0.0007351660498176624,0.003893885195038381,0.0008329173490947893,74.25101063505221,0.04826315691278393,③ 全部 207 币
vol-norm 14d,0.6304897829313282,0.07417411068670732,0.12608390906075514,-0.16858023894564922,0.002293942721096774,0.07928678225427334,0.0016524633067178669,0.0038034039911897383,-0.007626668857666137,67.5404628956353,0.043901300882162944,③ 全部 207 币
resid 14d k=1,0.45939577877598475,0.05113018088397325,0.12573545525761778,-0.1652727838156045,-0.0010846055613766364,0.057860604065418285,0.001663618667018492,0.002388261408094283,-0.01920619885211661,67.12286325505654,0.04362986111578675,③ 全部 207 币
resid 14d k=3,0.405093462698081,0.04130523615455517,0.11673405311886037,-0.15187083882345342,-0.0022599844379968385,0.04749295932856454,0.0014194372912462957,0.0021764398737758703,-0.010852086584788641,66.97851810114513,0.04353603676574433,③ 全部 207 币
resid 14d k=5,0.4878925702691097,0.049851116702118725,0.11273385330087196,-0.14914444085525125,-0.0030875631172158943,0.055281746686213155,0.0012670402613730069,0.0021575395802332542,-0.015798281363847762,67.41433715506133,0.043819319150789876,③ 全部 207 币
