门槛,可用币数,信号,Sharpe,年化,回撤,平均持仓数
$10M,181,raw 14d,-0.6266989356361684,-0.10212589446647835,-0.3588508391395504,90.36336109008327
$10M,181,vol-norm 14d,0.051359280596337445,-0.0023374870036925177,-0.23726134230791207,77.46858440575322
$10M,181,resid 14d k=1,-0.10739963283440923,-0.023491548267449813,-0.23262212737838817,77.46858440575322
$30M,173,raw 14d,0.12895610800294657,0.0058044754738804105,-0.33530367081070533,44.127933383800155
$30M,173,vol-norm 14d,0.4467358497539214,0.06657663422094773,-0.27398185217651605,36.33610900832703
$30M,173,resid 14d k=1,0.3898732089356758,0.05519938077489828,-0.26098621744970374,36.33610900832703
$100M,119,raw 14d,0.4700634999649617,0.09941699844083085,-0.3251294890587928,16.15140045420136
$100M,119,vol-norm 14d,0.5225289845271162,0.1079502825927412,-0.28950388753852296,13.312641937925815
$100M,119,resid 14d k=1,0.4841776179767621,0.09692420495985776,-0.2885267136563491,13.312641937925815
$300M,43,raw 14d,0.2790251675334032,0.03907975587099077,-0.5343765116439447,2.1756245268735808
$300M,43,vol-norm 14d,0.6203973937026004,0.14770991185694848,-0.41563917134579986,1.6623769871309615
$300M,43,resid 14d k=1,0.702107909345879,0.1774257248252289,-0.4352300105010676,1.6623769871309615
