alpha,≈半衰期,零成本Sharpe,零成本年化,年换手,打平成本bp,净Sharpe,净年化,panel
1.00,0d,0.3505125769575165,0.03439589855966818,439.4734877759435,0.7826615146623866,-2.1210371730614783,-0.22270696065817364,全部 207 币
0.50,1.0d,0.20220700165521796,0.017679816455712594,341.78969954347644,0.517271774992847,-1.5634396138421998,-0.18511161645047614,全部 207 币
0.30,1.9d,-0.041832588890012026,-0.013676564182698026,277.820820515449,-0.49228002988845476,-1.4379378726734124,-0.1766837461365348,全部 207 币
0.20,3.1d,-0.23803704794316433,-0.038262240016215254,229.67022812639834,-1.6659642970858957,-1.3953447509806405,-0.17167827879624153,全部 207 币
0.10,6.6d,-0.5390776896178892,-0.07191335035478241,160.98114785280933,-4.4671908055057035,-1.3817342630408238,-0.1641529869795919,全部 207 币
0.05,13.5d,-0.7256014433091225,-0.08738584432362173,110.82986795467725,-7.884683608876741,-1.3431266326199407,-0.1508412186650132,全部 207 币
1.00,0d,0.7511985476979198,0.09633038929111448,440.66891089956283,2.186003752669316,-1.3782944550197995,-0.1767722734425664,样本外 181 币
0.50,1.0d,0.770188018720873,0.10656946201767825,342.97443504544873,3.1072129910661235,-0.7654829326570868,-0.11457500217374839,样本外 181 币
0.30,1.9d,0.6570626685889903,0.08983885946918613,278.79746957546246,3.22236997365822,-0.571761092638909,-0.0908072929869066,样本外 181 币
0.20,3.1d,0.5090502216887294,0.06559454891758487,230.42283718628056,2.846703465618572,-0.5195284238542044,-0.08263624346578813,样本外 181 币
0.10,6.6d,0.14309972974977517,0.01027640184414036,161.09261702534286,0.637918858970656,-0.6244586755407335,-0.09017126740842363,样本外 181 币
0.05,13.5d,-0.28059848015690037,-0.04173194479264297,109.97414705388597,-3.7947050202803423,-0.8555805687499634,-0.1078537486600808,样本外 181 币
