band,stop,trades,total,cagr,maxdd,win,worst_exc,stopped,avg_days,shorts
30/70,0.0,12,-0.2852036483886934,-0.08860919414634605,-0.4616912265935541,0.5833333333333334,-0.37612469944359833,0,21.0,10.0
30/70,0.05,13,-0.09940952865757724,-0.028519571545222222,-0.22236610624748554,0.5384615384615384,-0.050000000000000176,6,10.282051282051283,11.0
30/70,0.1,13,-0.22143012674123974,-0.06682928353582862,-0.34438266216280256,0.5384615384615384,-0.10000000000000007,4,15.243589743589745,11.0
30/70,0.15,13,-0.21715445624257634,-0.06541592784733108,-0.3752726093073465,0.5384615384615384,-0.15000000000000016,2,17.653846153846153,11.0
30/70,0.2,12,-0.3023518043261728,-0.09470443021747033,-0.4432619047521852,0.5833333333333334,-0.2000000000000002,2,18.86111111111111,10.0
25/75,0.0,4,0.10193181855963762,0.02718593854283613,-0.08021993019319573,0.75,-0.08978732726466125,0,22.208333333333332,3.0
25/75,0.05,4,-0.03222669230556652,-0.009011356288777472,-0.09616908543838787,0.5,-0.050000000000000044,2,14.375,3.0
25/75,0.1,4,0.10193181855963762,0.02718593854283613,-0.08021993019319573,0.75,-0.08978732726466125,0,22.208333333333332,3.0
25/75,0.15,4,0.10193181855963762,0.02718593854283613,-0.08021993019319573,0.75,-0.08978732726466125,0,22.208333333333332,3.0
25/75,0.2,4,0.10193181855963762,0.02718593854283613,-0.08021993019319573,0.75,-0.08978732726466125,0,22.208333333333332,3.0
20/80,0.0,0,0.0,0.0,0.0,,,0,,
20/80,0.05,0,0.0,0.0,0.0,,,0,,
20/80,0.1,0,0.0,0.0,0.0,,,0,,
20/80,0.15,0,0.0,0.0,0.0,,,0,,
20/80,0.2,0,0.0,0.0,0.0,,,0,,
分位10/90,0.0,15,-0.19125793547361503,-0.05697292819448996,-0.3329821452173928,0.8,-0.2838753850303506,0,15.144444444444444,10.0
分位10/90,0.05,18,-0.14114130837477246,-0.04117382599324737,-0.2806104754642237,0.5555555555555556,-0.05000000000000004,7,9.5,13.0
分位10/90,0.1,17,-0.0022354489669077493,-0.0006182458261986268,-0.19188355290438674,0.7058823529411765,-0.10000000000000017,3,12.137254901960786,12.0
分位10/90,0.15,17,-0.08661011165246013,-0.024723618674905135,-0.24385692103160417,0.7058823529411765,-0.15000000000000005,2,13.068627450980392,12.0
分位10/90,0.2,16,-0.17373044501000745,-0.051368881155450685,-0.3159788461220029,0.75,-0.20000000000000012,2,13.833333333333334,11.0
分位05/95,0.0,3,-0.015039274197161556,-0.004178776229588954,-0.11739533270330438,0.6666666666666666,-0.11556913444585788,0,17.166666666666668,2.0
分位05/95,0.05,3,0.0007587549389760362,0.000209617327353806,-0.06665295940316751,0.6666666666666666,-0.05,1,10.0,2.0
分位05/95,0.1,3,-0.05209309856715627,-0.014675201149356387,-0.11594468012662407,0.6666666666666666,-0.1000000000000002,1,14.333333333333334,2.0
分位05/95,0.15,3,-0.015039274197161556,-0.004178776229588954,-0.11739533270330438,0.6666666666666666,-0.11556913444585788,0,17.166666666666668,2.0
分位05/95,0.2,3,-0.015039274197161556,-0.004178776229588954,-0.11739533270330438,0.6666666666666666,-0.11556913444585788,0,17.166666666666668,2.0
