RSI条件,MA条件,trades,total,cagr,maxdd,per_trade,sd,t,p,win,shorts,days
1根,关,66,-0.6059001032169393,-0.2268752614136027,-0.7352335673906465,-0.008966733987178222,0.08785908695303475,-0.8291241555347648,0.4100686219984914,0.7272727272727273,34,17.681818181818183
1根,1根,16,-0.5488335877892973,-0.19743691387645357,-0.6810312826057197,-0.040620283000732206,0.11674372107100604,-1.3917761958615684,0.1842852650238949,0.5625,12,24.270833333333332
1根,2根,15,-0.5667409235524029,-0.2063690448072989,-0.6887817293260223,-0.04568048097705165,0.12171530435592459,-1.453553791013086,0.16811765919386096,0.6,11,24.311111111111114
1根,3根,15,-0.38389302886185694,-0.12527119737172332,-0.5592654162345976,-0.026743729798645737,0.094096446548656,-1.1007644169864288,0.2895658966126377,0.6,11,22.444444444444443
2根,关,60,-0.6197763113099592,-0.23449552649894867,-0.7242234330901722,-0.010672755706753983,0.09075613896568294,-0.9109114949464356,0.36604872006639383,0.7,30,17.93888888888889
2根,1根,13,-0.5903561501596839,-0.21856631845418528,-0.6722819140870837,-0.05795651734849691,0.12103320196535036,-1.7265113345274206,0.10988350657878021,0.5384615384615384,10,24.525641025641026
2根,2根,12,-0.5008860751309774,-0.17472195451504857,-0.6218808178053985,-0.04783176791967905,0.1210056279377528,-1.3693090753654047,0.1982099362706165,0.5833333333333334,10,23.38888888888889
2根,3根,12,-0.2904824449349286,-0.09047413885660227,-0.4611727218639211,-0.0241879170905256,0.0839360788065796,-0.9982525256295357,0.3396100566414956,0.5833333333333334,10,21.041666666666668
3根,关,48,-0.5474845737865222,-0.1967744923851219,-0.6522060911451544,-0.011386749085962404,0.08902232770783691,-0.8861789376998792,0.38003302324173904,0.625,26,18.42361111111111
3根,1根,13,-0.5871682009870131,-0.21689051630737566,-0.6702826734090699,-0.057328362039486026,0.12153826198200356,-1.7007018654120363,0.11474503343610834,0.5384615384615384,10,24.474358974358974
3根,2根,12,-0.49700184783335066,-0.172952127141339,-0.622244732682534,-0.04715126633491726,0.12149461433507557,-1.3443952125820435,0.20588864480608363,0.5833333333333334,10,23.333333333333332
3根,3根,12,-0.2852036483886934,-0.08860919414634605,-0.4616912265935541,-0.023536571099284875,0.08441153348266991,-0.9658996892477549,0.35485032314415194,0.5833333333333334,10,21.0
