direction,entry_time,exit_time,bars_held,entry_rsi,exit_rsi,legs,notional,pnl,return_on_equity,worst_excursion
short,2023-01-15 12:00:00,2023-02-09 20:00:00,152,78.54726109420423,27.030679891713675,2,600.0,-26.142732291254656,-0.026142732291254658,-0.08978732726466125
short,2023-04-13 20:00:00,2023-04-17 16:00:00,23,71.66125080438707,29.695115844866635,3,681.4270873961217,24.039820581900656,0.024695047670666218,-0.013356488287518387
short,2023-06-23 12:00:00,2023-07-24 16:00:00,187,73.11934058069872,28.639692808437445,2,598.238496410303,23.664160812352613,0.023733839551631764,-0.03060299699443809
long,2023-08-20 00:00:00,2023-08-29 16:00:00,58,20.5103451939045,78.68013711114764,1,510.1697332367621,25.54021612010179,0.025031096962634745,-0.015493476027659825
short,2023-10-20 00:00:00,2023-11-14 20:00:00,155,70.49109632736358,26.441802671919547,4,836.4384578136177,-183.63799552343568,-0.1756380221956322,-0.2633304917784405
short,2023-12-06 20:00:00,2023-12-11 20:00:00,30,78.89859608155386,26.013291399944166,1,430.6831958730037,31.129176761115,0.03613929804948104,-0.008753931031975415
short,2024-02-11 20:00:00,2024-03-19 12:00:00,220,73.72079546971965,29.667592902977617,4,713.772499543844,-183.4441847768968,-0.2056052144279942,-0.37612469944359833
short,2024-11-13 00:00:00,2024-12-19 20:00:00,221,71.36787545218748,29.24613558429276,2,424.9844925169228,-40.80489838643043,-0.05760901741816698,-0.13293310038005746
short,2025-04-25 20:00:00,2025-06-06 00:00:00,247,73.3510203555032,28.685529346285634,3,467.05844445514674,-21.117891129914337,-0.031650265542644856,-0.10687271108856863
short,2025-07-13 12:00:00,2025-08-01 20:00:00,116,72.5154704732953,25.71638164247814,3,452.06340907197966,19.773984928443085,0.030619132564445633,-0.028104911923225086
short,2025-10-04 08:00:00,2025-10-10 20:00:00,39,77.29817351379363,29.58758542994846,2,399.1710082892247,19.470484784690534,0.02926638114547077,-0.017315631037053737
long,2026-06-05 00:00:00,2026-06-15 16:00:00,64,28.67376850905518,74.36618738363754,3,479.1472262112739,30.611759863666855,0.04472160273994426,-0.045338056761475634
