tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1h,6,ls,0.0,-3.570839477153146,-0.9914745071744969,-0.992020606820443,3858,0.9996943898712072,-3.4742760997777435,-0.9446725873781405,-0.9480982233825856,-3.7779532365610913,-0.8459083405224213,-0.8521735530239364
1h,6,ls,0.02,-3.4579985479854085,-0.9901715513688346,-0.9908011117271077,3618,0.9996943898712072,-3.467924501075837,-0.9443650147207008,-0.9478096943044383,-3.487596323633087,-0.8233405009127881,-0.8315752862212943
1h,6,ls,0.04,-3.2837627723572673,-0.9877859068995902,-0.9885682794913229,3366,0.9996943898712072,-3.3126324987250033,-0.9372417732535185,-0.9411274933862712,-3.27954354679819,-0.8053786135521335,-0.8143552228505996
1h,6,ls,0.06,-2.9300929777815585,-0.9809883702562833,-0.9822061584222465,3164,0.9996943898712072,-2.870320666154216,-0.9115523732058511,-0.9170286707678674,-3.0676195406897526,-0.7850521214326749,-0.7949402564096344
1h,6,long_only,0.0,-2.141219663275368,-0.8682010476717402,-0.8776767427957283,1929,0.5160881903514517,-1.4083878308255098,-0.5875540784993885,-0.6163319953010857,-3.48816288847053,-0.6804454948936516,-0.70306881563675
1h,6,long_only,0.02,-2.065263878642115,-0.8583977349782034,-0.8701064251552718,1809,0.5160008731717965,-1.4081641823018978,-0.586142901884013,-0.6194958755838598,-3.271704357512407,-0.6578474413839566,-0.6850361236801623
1h,6,long_only,0.04,-1.9417091756126421,-0.842127814586784,-0.8591190736347762,1683,0.5164811176598996,-1.3002815729750654,-0.5603938435927722,-0.6068105695059007,-3.1158436042607778,-0.640878128951925,-0.6676961922820551
1h,6,long_only,0.06,-1.6900344247762058,-0.8030084301420339,-0.8261231517215561,1582,0.5156952630430037,-0.9890921869966377,-0.47828196837338754,-0.5384471290991522,-2.973234254324302,-0.6224175552380553,-0.6491271723531093
1h,8,ls,0.0,-2.661851687083957,-0.9733140852294013,-0.9761053689017082,3319,0.999607072691552,-1.7702249613832428,-0.7919616283709776,-0.814750879335057,-4.168850579362544,-0.8717259966916802,-0.881109241475671
1h,8,ls,0.02,-2.4166804672401465,-0.9637005308779035,-0.9674973696351623,2965,0.999607072691552,-1.645482559663683,-0.7707091736864004,-0.7970366857874237,-3.721291424034242,-0.8416880879811117,-0.8535733697548012
1h,8,ls,0.04,-2.271885812110874,-0.9564637502402056,-0.9612714710936147,2727,0.999607072691552,-1.4193479093584014,-0.7267095960073704,-0.7669571010239562,-3.708541892725122,-0.840696017409496,-0.853293673724911
1h,8,ls,0.06,-2.0456545559115864,-0.9422477192880028,-0.9485686526737234,2513,0.999607072691552,-1.1605616114967712,-0.6660995623965742,-0.7305344084004051,-3.533053065749449,-0.8270374213148247,-0.8419980136812024
1h,8,long_only,0.0,-1.5055649539087155,-0.7669746781349422,-0.8163245606393288,1659,0.5190133158698974,-0.224119911842257,-0.2009975057353176,-0.44343631235625314,-3.7924151038077896,-0.7083547003448243,-0.7334154854676052
1h,8,long_only,0.02,-1.324099001987441,-0.7285577742205609,-0.7933109275290335,1482,0.5183584370224842,-0.13533718622120228,-0.16200031447640584,-0.4709138019232375,-3.448275606752886,-0.6760831412366961,-0.7045897237145864
1h,8,long_only,0.04,-1.2207812838848775,-0.7027192682145961,-0.7762021663100266,1363,0.5183584370224842,0.023182478226499468,-0.08555756804432291,-0.4156656275069017,-3.4588462884434805,-0.6749049241409111,-0.7045596031864787
1h,8,long_only,0.06,-1.0618493809661098,-0.6573621021329941,-0.7529245048984966,1256,0.519624536127483,0.20484550818278657,0.01176309852055013,-0.40315299215915446,-3.317062858835862,-0.6613457257256862,-0.6948215843622343
1h,10,ls,0.0,-3.122862340649894,-0.9850391497444766,-0.9860873727908849,2991,0.999519755511897,-2.3841221756596838,-0.8708052359944343,-0.8798513598172127,-4.382599979832138,-0.8841992524180091,-0.8884852037583819
1h,10,ls,0.02,-2.7082371651534305,-0.974814934459766,-0.9764416345159893,2651,0.9994760969220694,-1.9657946231743197,-0.8211801271150188,-0.8327219618910155,-3.9690764596600125,-0.8591595825793187,-0.8669936342721436
1h,10,ls,0.04,-2.4301244766141683,-0.9643374053542261,-0.9666408476312642,2367,0.9994760969220694,-1.7092941921903197,-0.7819131869859199,-0.795989485788857,-3.652356626442402,-0.8364752359260194,-0.850635400854557
1h,10,ls,0.06,-2.3291499180170057,-0.9594642726862256,-0.9620991441215501,2163,0.9994760969220694,-1.6409547484203235,-0.7699710909179944,-0.7860171519340337,-3.497517475761364,-0.8237798567339061,-0.8384223979097257
1h,10,long_only,0.0,-1.8385992571331125,-0.8257390176950605,-0.858478281079073,1495,0.518271119842829,-0.651972322827387,-0.37250556845121907,-0.49039601756235296,-4.052930553149099,-0.7222907908922351,-0.7453872713391095
1h,10,long_only,0.02,-1.5397024819638594,-0.7731535231516176,-0.8197922470104436,1325,0.5190133158698974,-0.3550929226520286,-0.25956309204699857,-0.41179394422807036,-3.752062508539524,-0.693631591818513,-0.7218389181967688
1h,10,long_only,0.04,-1.3487015858751619,-0.729556571781794,-0.7816837884898328,1183,0.5179655097140362,-0.17776694655250252,-0.18121175236870568,-0.37306519060474785,-3.5316105065142955,-0.6697028456373361,-0.7050735614538899
1h,10,long_only,0.06,-1.2686401251515094,-0.7121184774264322,-0.769694570368866,1081,0.5197555118969658,-0.1293572072468644,-0.15946983107206314,-0.3467037642105215,-3.3679207296924614,-0.657500071721698,-0.6935258334975686
1h,12,ls,0.0,-2.6897565785087143,-0.9742490319323298,-0.9758176388057715,2695,0.9993887797424144,-2.5378592405491367,-0.8854703167430177,-0.8924416137530675,-2.977209729784958,-0.7751590038899338,-0.7987150335338893
1h,12,ls,0.02,-2.242590023131072,-0.9548828385757415,-0.9575537894148352,2293,0.9994324383322418,-1.9645331299162807,-0.821162240948105,-0.8326788465598418,-2.732667386309024,-0.747720158967287,-0.7732457316425179
1h,12,ls,0.04,-1.9378694445924354,-0.9340128958733633,-0.9381712368111653,1991,0.9994324383322418,-1.6897639048983577,-0.77880622330554,-0.7930504271217012,-2.3743907796532335,-0.7016773929504072,-0.7282655059013885
1h,12,ls,0.06,-1.6607159312741624,-0.9066224557214964,-0.912737724217232,1807,0.9994324383322418,-1.283916186635756,-0.6968485860913829,-0.7163706114910239,-2.306059069297535,-0.6919772100860075,-0.7229682587233062
1h,12,long_only,0.0,-1.5378510946388537,-0.7703764431099778,-0.8012268089475714,1347,0.519624536127483,-0.7649852497949652,-0.4065241177351321,-0.49470412612435943,-2.9731342555826257,-0.6130869614891254,-0.655842038916329
